Column,Group,Dtype,Role,Use_As_Feature
AL_151,AL,float64,numeric_feature,YES
AL_152,AL,float64,numeric_feature,YES
AL_153,AL,float64,numeric_feature,YES
AL_154,AL,float64,numeric_feature,YES
AL_155,AL,float64,numeric_feature,YES
AL_156,AL,float64,numeric_feature,YES
AL_157,AL,float64,numeric_feature,YES
AL_158,AL,float64,numeric_feature,YES
AL_159,AL,float64,numeric_feature,YES
AL_160,AL,float64,numeric_feature,YES
AL_161,AL,float64,numeric_feature,YES
AL_162,AL,float64,numeric_feature,YES
AL_163,AL,float64,numeric_feature,YES
AL_164,AL,float64,numeric_feature,YES
AL_165,AL,float64,numeric_feature,YES
AL_166,AL,float64,numeric_feature,YES
AL_167,AL,float64,numeric_feature,YES
AL_168,AL,float64,numeric_feature,YES
AL_169,AL,float64,numeric_feature,YES
AL_170,AL,float64,numeric_feature,YES
AL_171,AL,float64,numeric_feature,YES
AL_172,AL,float64,numeric_feature,YES
AL_173,AL,float64,numeric_feature,YES
AL_174,AL,float64,numeric_feature,YES
AL_175,AL,float64,numeric_feature,YES
AL_176,AL,float64,numeric_feature,YES
AL_177,AL,float64,numeric_feature,YES
AL_178,AL,float64,numeric_feature,YES
AL_179,AL,float64,numeric_feature,YES
AL_180,AL,float64,numeric_feature,YES
AL_181,AL,float64,numeric_feature,YES
AL_182,AL,float64,numeric_feature,YES
AL_183,AL,float64,numeric_feature,YES
AL_184,AL,float64,numeric_feature,YES
AL_185,AL,float64,numeric_feature,YES
CAT_5,CAT,object,categorical_feature,YES (encode)
AL_186,AL,float64,numeric_feature,YES
AL_187,AL,float64,numeric_feature,YES
AL_188,AL,float64,numeric_feature,YES
AL_189,AL,float64,numeric_feature,YES
AL_190,AL,float64,numeric_feature,YES
AL_191,AL,float64,numeric_feature,YES
AL_192,AL,float64,numeric_feature,YES
AL_193,AL,float64,numeric_feature,YES
AL_194,AL,float64,numeric_feature,YES
AL_195,AL,float64,numeric_feature,YES
AL_196,AL,float64,numeric_feature,YES
AL_197,AL,float64,numeric_feature,YES
AL_198,AL,float64,numeric_feature,YES
AL_199,AL,float64,numeric_feature,YES
AL_200,AL,float64,numeric_feature,YES
AL_201,AL,float64,numeric_feature,YES
AL_202,AL,float64,numeric_feature,YES
AL_203,AL,float64,numeric_feature,YES
AL_204,AL,float64,numeric_feature,YES
AL_205,AL,float64,numeric_feature,YES
AL_206,AL,float64,numeric_feature,YES
AL_207,AL,float64,numeric_feature,YES
AL_208,AL,float64,numeric_feature,YES
AL_209,AL,float64,numeric_feature,YES
AL_210,AL,float64,numeric_feature,YES
AL_211,AL,float64,numeric_feature,YES
AL_212,AL,float64,numeric_feature,YES
AL_213,AL,float64,numeric_feature,YES
AL_214,AL,float64,numeric_feature,YES
AL_215,AL,float64,numeric_feature,YES
AL_216,AL,float64,numeric_feature,YES
AL_217,AL,float64,numeric_feature,YES
AL_218,AL,float64,numeric_feature,YES
AL_219,AL,float64,numeric_feature,YES
AL_220,AL,float64,numeric_feature,YES
AL_221,AL,float64,numeric_feature,YES
AL_222,AL,float64,numeric_feature,YES
CAT_6,CAT,object,categorical_feature,YES (encode)
AL_223,AL,float64,numeric_feature,YES
AL_224,AL,float64,numeric_feature,YES
AL_225,AL,float64,numeric_feature,YES
AL_226,AL,float64,numeric_feature,YES
AL_227,AL,float64,numeric_feature,YES
AL_228,AL,float64,numeric_feature,YES
AL_229,AL,float64,numeric_feature,YES
AL_230,AL,float64,numeric_feature,YES
AL_231,AL,float64,numeric_feature,YES
AL_232,AL,float64,numeric_feature,YES
AL_233,AL,float64,numeric_feature,YES
AL_234,AL,float64,numeric_feature,YES
AL_235,AL,float64,numeric_feature,YES
AL_236,AL,float64,numeric_feature,YES
AL_237,AL,float64,numeric_feature,YES
AL_238,AL,float64,numeric_feature,YES
AL_239,AL,float64,numeric_feature,YES
AL_240,AL,float64,numeric_feature,YES
AL_241,AL,float64,numeric_feature,YES
AL_242,AL,float64,numeric_feature,YES
AL_243,AL,float64,numeric_feature,YES
AL_244,AL,float64,numeric_feature,YES
AL_245,AL,float64,numeric_feature,YES
AL_246,AL,float64,numeric_feature,YES
AL_247,AL,float64,numeric_feature,YES
AL_248,AL,float64,numeric_feature,YES
AL_249,AL,float64,numeric_feature,YES
AL_250,AL,float64,numeric_feature,YES
AL_251,AL,float64,numeric_feature,YES
AL_252,AL,float64,numeric_feature,YES
AL_253,AL,float64,numeric_feature,YES
AL_254,AL,float64,numeric_feature,YES
AL_255,AL,float64,numeric_feature,YES
AL_256,AL,float64,numeric_feature,YES
AL_257,AL,float64,numeric_feature,YES
AL_258,AL,float64,numeric_feature,YES
AL_259,AL,float64,numeric_feature,YES
AL_260,AL,float64,numeric_feature,YES
AL_261,AL,float64,numeric_feature,YES
AL_262,AL,float64,numeric_feature,YES
AL_263,AL,float64,numeric_feature,YES
AL_264,AL,float64,numeric_feature,YES
AL_265,AL,float64,numeric_feature,YES
AL_266,AL,float64,numeric_feature,YES
AL_267,AL,float64,numeric_feature,YES
AL_268,AL,float64,numeric_feature,YES
AL_269,AL,float64,numeric_feature,YES
AL_270,AL,float64,numeric_feature,YES
AL_271,AL,float64,numeric_feature,YES
AL_272,AL,float64,numeric_feature,YES
AL_273,AL,float64,numeric_feature,YES
AL_274,AL,float64,numeric_feature,YES
AL_275,AL,float64,numeric_feature,YES
AL_276,AL,float64,numeric_feature,YES
AL_277,AL,float64,numeric_feature,YES
AL_278,AL,float64,numeric_feature,YES
AL_279,AL,float64,numeric_feature,YES
AL_280,AL,float64,numeric_feature,YES
AL_281,AL,float64,numeric_feature,YES
AL_282,AL,float64,numeric_feature,YES
AL_283,AL,float64,numeric_feature,YES
AL_284,AL,float64,numeric_feature,YES
AL_285,AL,float64,numeric_feature,YES
AL_286,AL,float64,numeric_feature,YES
AL_287,AL,float64,numeric_feature,YES
AL_288,AL,float64,numeric_feature,YES
AL_289,AL,float64,numeric_feature,YES
AL_290,AL,float64,numeric_feature,YES
AL_291,AL,float64,numeric_feature,YES
AL_292,AL,float64,numeric_feature,YES
AL_293,AL,float64,numeric_feature,YES
AL_294,AL,float64,numeric_feature,YES
AL_295,AL,float64,numeric_feature,YES
AL_296,AL,float64,numeric_feature,YES
AL_297,AL,float64,numeric_feature,YES
AL_298,AL,float64,numeric_feature,YES
AL_299,AL,float64,numeric_feature,YES
AL_300,AL,float64,numeric_feature,YES
AL_301,AL,float64,numeric_feature,YES
AL_302,AL,float64,numeric_feature,YES
AL_303,AL,float64,numeric_feature,YES
AL_304,AL,float64,numeric_feature,YES
AL_305,AL,float64,numeric_feature,YES
AL_306,AL,float64,numeric_feature,YES
AL_307,AL,float64,numeric_feature,YES
AL_308,AL,float64,numeric_feature,YES
AL_309,AL,float64,numeric_feature,YES
AL_310,AL,float64,numeric_feature,YES
AL_311,AL,float64,numeric_feature,YES
AL_312,AL,float64,numeric_feature,YES
AL_313,AL,float64,numeric_feature,YES
AL_314,AL,float64,numeric_feature,YES
AL_315,AL,float64,numeric_feature,YES
AL_316,AL,float64,numeric_feature,YES
AL_317,AL,float64,numeric_feature,YES
AL_318,AL,float64,numeric_feature,YES
AL_319,AL,float64,numeric_feature,YES
AL_320,AL,float64,numeric_feature,YES
AL_321,AL,float64,numeric_feature,YES
AL_322,AL,float64,numeric_feature,YES
AL_323,AL,float64,numeric_feature,YES
AL_324,AL,float64,numeric_feature,YES
AL_325,AL,float64,numeric_feature,YES
AL_326,AL,float64,numeric_feature,YES
AL_327,AL,float64,numeric_feature,YES
AL_328,AL,float64,numeric_feature,YES
AL_329,AL,float64,numeric_feature,YES
AL_330,AL,float64,numeric_feature,YES
AL_331,AL,float64,numeric_feature,YES
AL_332,AL,float64,numeric_feature,YES
AL_333,AL,float64,numeric_feature,YES
AL_334,AL,float64,numeric_feature,YES
EK_4,EK,float64,numeric_feature (risk),YES (with caution)
EK_5,EK,float64,numeric_feature (risk),YES (with caution)
EK_6,EK,float64,numeric_feature (risk),YES (with caution)
EK_7,EK,float64,numeric_feature (risk),YES (with caution)
EK_8,EK,float64,numeric_feature (risk),YES (with caution)
EK_9,EK,float64,numeric_feature (risk),YES (with caution)
AA_1,AA,object,amino_acid_feature,YES (encode)
AA_2,AA,object,amino_acid_feature,YES (encode)
Label,Target,int64,target,NO
