Column,Miss_Pathogenic_Pct,Miss_Benign_Pct,Difference_Pct,Abs_Difference
AL_331,50.58,27.11,23.47,23.47
AL_330,50.58,27.11,23.47,23.47
AL_329,50.58,27.11,23.47,23.47
AL_328,50.58,27.11,23.47,23.47
AL_327,50.58,27.11,23.47,23.47
AL_2,96.23,72.76,23.47,23.47
AL_307,50.58,27.11,23.47,23.47
AL_325,50.58,27.11,23.47,23.47
AL_308,50.58,27.11,23.47,23.47
AL_309,50.58,27.11,23.47,23.47
AL_306,50.58,27.11,23.47,23.47
AL_299,50.58,27.11,23.47,23.47
AL_305,50.58,27.11,23.47,23.47
AL_295,50.58,27.11,23.47,23.47
AL_296,50.58,27.11,23.47,23.47
AL_297,50.58,27.11,23.47,23.47
AL_298,50.58,27.11,23.47,23.47
AL_1,96.23,72.76,23.47,23.47
AL_300,50.58,27.11,23.47,23.47
AL_303,50.58,27.11,23.47,23.47
AL_304,50.58,27.11,23.47,23.47
AL_301,50.58,27.11,23.47,23.47
AL_302,50.58,27.11,23.47,23.47
AL_98,64.59,44.25,20.34,20.34
AL_97,64.59,44.25,20.34,20.34
AL_96,64.59,44.25,20.34,20.34
AL_95,64.59,44.25,20.34,20.34
CAT_2,64.59,44.25,20.34,20.34
AL_94,64.59,44.25,20.34,20.34
AL_84,64.59,44.25,20.34,20.34
AL_92,64.59,44.25,20.34,20.34
AL_91,64.59,44.25,20.34,20.34
AL_90,64.59,44.25,20.34,20.34
AL_89,64.59,44.25,20.34,20.34
AL_88,64.59,44.25,20.34,20.34
AL_87,64.59,44.25,20.34,20.34
AL_86,64.59,44.25,20.34,20.34
AL_93,64.59,44.25,20.34,20.34
AL_85,64.59,44.25,20.34,20.34
AL_75,64.59,44.25,20.34,20.34
AL_76,64.59,44.25,20.34,20.34
AL_77,64.59,44.25,20.34,20.34
AL_78,64.59,44.25,20.34,20.34
AL_79,64.59,44.25,20.34,20.34
AL_80,64.59,44.25,20.34,20.34
AL_81,64.59,44.25,20.34,20.34
AL_82,64.59,44.25,20.34,20.34
AL_83,64.59,44.25,20.34,20.34
AL_32,96.65,76.98,19.67,19.67
AL_33,96.65,76.98,19.67,19.67
AL_38,96.65,76.98,19.67,19.67
AL_37,96.65,76.98,19.67,19.67
AL_36,96.65,76.98,19.67,19.67
AL_35,96.65,76.98,19.67,19.67
AL_27,96.65,76.98,19.67,19.67
AL_28,96.65,76.98,19.67,19.67
AL_29,96.65,76.98,19.67,19.67
AL_30,96.65,76.98,19.67,19.67
AL_31,96.65,76.98,19.67,19.67
AL_34,96.65,76.98,19.67,19.67
CAT_1,41.6,24.42,17.18,17.18
AL_176,53.89,36.7,17.18,17.18
AL_110,53.89,36.7,17.18,17.18
AL_128,53.89,36.7,17.18,17.18
AL_120,53.89,36.7,17.18,17.18
AL_121,53.89,36.7,17.18,17.18
AL_122,53.89,36.7,17.18,17.18
AL_123,53.89,36.7,17.18,17.18
AL_124,53.89,36.7,17.18,17.18
AL_125,53.89,36.7,17.18,17.18
AL_126,53.89,36.7,17.18,17.18
AL_127,53.89,36.7,17.18,17.18
AL_129,53.89,36.7,17.18,17.18
AL_139,53.89,36.7,17.18,17.18
AL_130,53.89,36.7,17.18,17.18
AL_131,53.89,36.7,17.18,17.18
AL_132,53.89,36.7,17.18,17.18
AL_133,53.89,36.7,17.18,17.18
AL_134,53.89,36.7,17.18,17.18
AL_135,53.89,36.7,17.18,17.18
AL_26,41.6,24.42,17.18,17.18
AL_137,53.89,36.7,17.18,17.18
AL_119,53.89,36.7,17.18,17.18
AL_118,53.89,36.7,17.18,17.18
AL_117,53.89,36.7,17.18,17.18
AL_116,53.89,36.7,17.18,17.18
AL_99,53.89,36.7,17.18,17.18
AL_100,53.89,36.7,17.18,17.18
AL_101,53.89,36.7,17.18,17.18
AL_102,53.89,36.7,17.18,17.18
AL_103,53.89,36.7,17.18,17.18
AL_104,53.89,36.7,17.18,17.18
AL_105,53.89,36.7,17.18,17.18
AL_106,53.89,36.7,17.18,17.18
AL_107,53.89,36.7,17.18,17.18
AL_108,53.89,36.7,17.18,17.18
AL_109,53.89,36.7,17.18,17.18
AL_182,53.89,36.7,17.18,17.18
AL_111,53.89,36.7,17.18,17.18
AL_112,53.89,36.7,17.18,17.18
AL_113,53.89,36.7,17.18,17.18
AL_114,53.89,36.7,17.18,17.18
AL_115,53.89,36.7,17.18,17.18
AL_138,53.89,36.7,17.18,17.18
AL_136,53.89,36.7,17.18,17.18
AL_140,53.89,36.7,17.18,17.18
AL_171,53.89,36.7,17.18,17.18
AL_163,53.89,36.7,17.18,17.18
AL_164,53.89,36.7,17.18,17.18
AL_141,53.89,36.7,17.18,17.18
AL_166,53.89,36.7,17.18,17.18
AL_167,53.89,36.7,17.18,17.18
AL_168,53.89,36.7,17.18,17.18
AL_169,53.89,36.7,17.18,17.18
AL_170,53.89,36.7,17.18,17.18
AL_172,53.89,36.7,17.18,17.18
AL_161,53.89,36.7,17.18,17.18
AL_173,53.89,36.7,17.18,17.18
AL_174,53.89,36.7,17.18,17.18
AL_175,53.89,36.7,17.18,17.18
AL_177,53.89,36.7,17.18,17.18
AL_178,53.89,36.7,17.18,17.18
AL_179,53.89,36.7,17.18,17.18
AL_180,53.89,36.7,17.18,17.18
AL_181,53.89,36.7,17.18,17.18
AL_162,53.89,36.7,17.18,17.18
AL_165,53.89,36.7,17.18,17.18
AL_160,53.89,36.7,17.18,17.18
AL_150,53.89,36.7,17.18,17.18
AL_142,53.89,36.7,17.18,17.18
AL_143,53.89,36.7,17.18,17.18
AL_144,53.89,36.7,17.18,17.18
AL_145,53.89,36.7,17.18,17.18
AL_159,53.89,36.7,17.18,17.18
AL_147,53.89,36.7,17.18,17.18
AL_148,53.89,36.7,17.18,17.18
AL_149,53.89,36.7,17.18,17.18
AL_146,53.89,36.7,17.18,17.18
AL_151,53.89,36.7,17.18,17.18
AL_153,53.89,36.7,17.18,17.18
AL_154,53.89,36.7,17.18,17.18
AL_155,53.89,36.7,17.18,17.18
AL_156,53.89,36.7,17.18,17.18
AL_157,53.89,36.7,17.18,17.18
AL_158,53.89,36.7,17.18,17.18
AL_152,53.89,36.7,17.18,17.18
AL_11,43.28,27.37,15.91,15.91
AL_14,43.28,27.37,15.91,15.91
AL_13,43.28,27.37,15.91,15.91
AL_12,43.28,27.37,15.91,15.91
AL_7,43.28,27.37,15.91,15.91
AL_10,43.28,27.37,15.91,15.91
AL_9,43.28,27.37,15.91,15.91
AL_8,43.28,27.37,15.91,15.91
AL_15,43.28,27.37,15.91,15.91
AL_186,33.88,24.42,9.45,9.45
CAT_4,10.05,18.29,-8.24,8.24
EK_1,10.05,18.29,-8.24,8.24
CAT_3,10.05,18.29,-8.24,8.24
EK_8,10.05,18.29,-8.24,8.24
EK_7,10.05,18.29,-8.24,8.24
EK_6,10.05,18.29,-8.24,8.24
EK_5,10.05,18.29,-8.24,8.24
EK_4,10.05,18.29,-8.24,8.24
CAT_5,10.05,18.29,-8.24,8.24
EK_2,10.05,18.29,-8.24,8.24
AA_2,9.77,17.9,-8.13,8.13
AA_1,9.77,17.65,-7.88,7.88
EK_3,47.37,39.9,7.47,7.47
AL_63,50.12,43.48,6.64,6.64
AL_74,50.12,43.48,6.64,6.64
AL_73,50.12,43.48,6.64,6.64
AL_72,50.12,43.48,6.64,6.64
AL_71,50.12,43.48,6.64,6.64
AL_70,50.12,43.48,6.64,6.64
AL_69,50.12,43.48,6.64,6.64
AL_68,50.12,43.48,6.64,6.64
AL_67,50.12,43.48,6.64,6.64
AL_66,50.12,43.48,6.64,6.64
AL_65,50.12,43.48,6.64,6.64
AL_64,50.12,43.48,6.64,6.64
AL_40,50.12,43.48,6.64,6.64
AL_52,50.12,43.48,6.64,6.64
AL_62,50.12,43.48,6.64,6.64
AL_61,50.12,43.48,6.64,6.64
AL_60,50.12,43.48,6.64,6.64
AL_59,50.12,43.48,6.64,6.64
AL_58,50.12,43.48,6.64,6.64
AL_57,50.12,43.48,6.64,6.64
AL_56,50.12,43.48,6.64,6.64
AL_55,50.12,43.48,6.64,6.64
AL_54,50.12,43.48,6.64,6.64
AL_41,50.12,43.48,6.64,6.64
AL_53,50.12,43.48,6.64,6.64
AL_51,50.12,43.48,6.64,6.64
AL_50,50.12,43.48,6.64,6.64
AL_49,50.12,43.48,6.64,6.64
AL_48,50.12,43.48,6.64,6.64
AL_47,50.12,43.48,6.64,6.64
AL_46,50.12,43.48,6.64,6.64
AL_45,50.12,43.48,6.64,6.64
AL_44,50.12,43.48,6.64,6.64
AL_43,50.12,43.48,6.64,6.64
AL_42,50.12,43.48,6.64,6.64
AL_39,50.12,43.48,6.64,6.64
EK_9,18.99,25.45,-6.46,6.46
CAT_6,98.56,95.4,3.16,3.16
