Column,Median Pathogenic,Median Benign,Median Diff (P-B),Mann-Whitney p-value,Effect Size (r),Abs Effect Size
AL_166,0.000116,0.000407,-0.000291,6.059862355921396e-06,0.1438,0.1438
AL_211,8.7e-05,0.000387,-0.0003,8.404771675234929e-05,0.1437,0.1437
EK_8,0.642332,0.62536,0.016972,5.695437496036345e-08,-0.143,0.143
AL_255,8.8e-05,0.000385,-0.000296,0.00010083705512958072,0.1421,0.1421
AL_118,9.3e-05,0.000342,-0.000249,8.772474350876656e-06,0.1413,0.1413
AL_30,0.000681,0.002032,-0.001351,0.08846012861421342,0.1375,0.1375
AL_43,0.000139,0.00075,-0.000611,2.8222404032145382e-05,0.1367,0.1367
AL_23,0.000212,0.000766,-0.000553,0.00015420939515596306,0.1353,0.1353
AL_160,0.000138,0.000422,-0.000283,2.1803062355272778e-05,0.135,0.135
AL_100,0.000224,0.000688,-0.000463,3.125391587392189e-05,0.1324,0.1324
AL_139,0.000121,0.000443,-0.000321,4.045329462343321e-05,0.1305,0.1305
AL_76,0.000115,0.000625,-0.00051,0.00026971882239487524,0.1264,0.1264
AL_121,0.000133,0.000309,-0.000176,7.266731518668488e-05,0.1261,0.1261
AL_298,0.000159,0.00071,-0.00055,2.7998724259663943e-05,0.1256,0.1256
AL_22,0.00012,0.00045,-0.00033,0.0004520365173727083,0.1255,0.1255
AL_175,0.000158,0.000378,-0.00022,8.01217384637392e-05,0.1254,0.1254
AL_230,0.000166,0.0005,-0.000334,0.0006289294885784271,0.125,0.125
AL_13,0.000145,0.000563,-0.000418,2.0273968015003615e-05,0.125,0.125
AL_46,0.00017,0.000742,-0.000572,0.0001605644574181793,0.1232,0.1232
AL_88,0.000106,0.000372,-0.000266,0.0005169807512010258,0.1204,0.1204
AL_283,0.000179,0.000475,-0.000296,0.0010329642416254505,0.1199,0.1199
AL_219,0.000115,0.000455,-0.00034,0.0010368251017535551,0.1199,0.1199
AL_15,8.7e-05,0.000311,-0.000225,4.554219984161448e-05,0.1196,0.1196
AL_28,0.002329,0.002157,0.000172,0.1441199933292096,0.1179,0.1179
AL_181,0.000187,0.00051,-0.000323,0.0002555807090909239,0.1162,0.1162
AL_154,8.8e-05,0.000301,-0.000213,0.00028576742503198186,0.1153,0.1153
AL_142,0.000111,0.000334,-0.000223,0.00031210367748016083,0.1146,0.1146
AL_109,0.000128,0.00046,-0.000333,0.0003251458762683873,0.1143,0.1143
AL_27,0.5,1.0,-0.5,0.11033060525325021,0.1111,0.1111
AL_9,0.000212,0.000573,-0.000361,0.0001587799095225099,0.1108,0.1108
AL_306,8.9e-05,0.000268,-0.000179,0.00036294189514347614,0.1069,0.1069
AL_207,6.7e-05,0.000344,-0.000277,0.0037236764113996244,0.106,0.106
AL_133,0.000165,0.000321,-0.000156,0.0009535548498778712,0.105,0.105
AL_223,0.0,1.0,-1.0,0.0009114673532196049,0.105,0.105
AL_52,0.000105,0.000405,-0.0003,0.0013488752541160175,0.1046,0.1046
AL_214,0.47357,1.0,-0.52643,0.0042851300757852755,0.104,0.104
AL_38,0.000882,0.001036,-0.000154,0.19892559730430204,0.1037,0.1037
AL_93,0.0,1.0,-1.0,0.0005592198148335982,0.1036,0.1036
AL_331,7e-05,0.000275,-0.000205,0.000552463197716618,0.1036,0.1036
AL_203,0.000108,0.00036,-0.000251,0.004681567553773963,0.1034,0.1034
AL_35,0.0,1.0,-1.0,0.15596985205151193,0.1005,0.1005
AL_234,0.0,1.0,-1.0,0.001969581868773916,0.0981,0.0981
AL_169,0.000133,0.000379,-0.000245,0.002491251897580114,0.0961,0.0961
AL_97,0.00016,0.000389,-0.000229,0.005665358841593464,0.096,0.096
AL_112,0.000155,0.00037,-0.000215,0.002616576978315151,0.0957,0.0957
AL_55,0.000184,0.000441,-0.000257,0.003474006976547133,0.0954,0.0954
AL_61,0.000115,0.000297,-0.000182,0.003514605146203909,0.0953,0.0953
AL_145,0.000174,0.000335,-0.000162,0.002793035335577739,0.095,0.095
AL_45,0.0,1.0,-1.0,0.0010323437496960125,0.095,0.095
AL_148,0.000219,0.000346,-0.000127,0.004666624162840725,0.0899,0.0899
AL_42,0.0,1.0,-1.0,0.0018247635361169077,0.0881,0.0881
AL_5,0.002002,0.001317,0.000684,0.24446340300543246,-0.0879,0.0879
AL_20,0.000113,0.000329,-0.000216,0.014231752654651118,0.0877,0.0877
AL_323,0.00017,0.00045,-0.00028,0.003683852964152083,0.0871,0.0871
AL_10,8.7e-05,0.000448,-0.000361,0.0030135479614871014,0.087,0.087
AL_12,0.000105,0.0003,-0.000194,0.003219407933280783,0.0864,0.0864
AL_275,9.5e-05,0.000241,-0.000147,0.018585215367746242,0.0861,0.0861
AL_318,0.0,1.0,-1.0,0.0010620790736447687,0.085,0.085
AL_106,5.5e-05,0.000258,-0.000203,0.007804874758911319,0.0846,0.0846
AL_243,7.3e-05,0.000318,-0.000245,0.024467050222432316,0.0822,0.0822
AL_98,1.0,1.0,0.0,0.0061601519431391276,0.0817,0.0817
AL_163,0.000141,0.000346,-0.000205,0.011605225759197658,0.0802,0.0802
AL_11,0.000124,0.000289,-0.000165,0.006831287680875864,0.0794,0.0794
EK_1,5.38097,5.322692,0.058279,0.0026421434614954833,-0.0792,0.0792
AL_81,0.0,1.0,-1.0,0.00869541356509772,0.0788,0.0788
AL_165,0.0,1.0,-1.0,0.004907133971256286,0.0774,0.0774
AL_29,1.0,1.0,0.0,0.2636547843280115,0.0774,0.0774
AL_206,1.0,1.0,0.0,0.015615471284594359,0.0765,0.0765
AL_291,0.000149,0.000331,-0.000182,0.03749854019108786,0.076,0.076
AL_123,0.184614,1.0,-0.815386,0.006461255424872042,0.0755,0.0755
AL_31,0.0,1.0,-1.0,0.2925016490950194,0.0752,0.0752
AL_70,8.6e-05,0.000393,-0.000307,0.02310181578502046,0.0742,0.0742
AL_250,1.0,1.0,0.0,0.021623828980556647,0.0739,0.0739
AL_33,0.0,0.989833,-0.989833,0.3003882733642317,0.0739,0.0739
AL_130,0.00016,0.000237,-7.7e-05,0.02123939967909931,0.0732,0.0732
AL_222,0.0,1.0,-1.0,0.020796090214920578,0.0732,0.0732
AL_202,0.0,1.0,-1.0,0.022401343546560634,0.0728,0.0728
AL_58,0.000172,0.00073,-0.000558,0.026504660153101264,0.0724,0.0724
AL_290,0.0,1.0,-1.0,0.02395216118057357,0.0716,0.0716
AL_37,0.833836,1.0,-0.166164,0.3262213095279203,0.0694,0.0694
AL_315,0.000119,0.000197,-7.8e-05,0.020902982495642042,0.0693,0.0693
AL_96,0.0,1.0,-1.0,0.022590571679333905,0.0691,0.0691
AL_36,0.001048,0.001643,-0.000595,0.3919463889427933,0.0691,0.0691
AL_85,0.000113,0.000252,-0.00014,0.047026913351576285,0.0689,0.0689
AL_305,0.0,1.0,-1.0,0.009179695437742615,0.0677,0.0677
AL_282,1.0,1.0,0.0,0.03273530914667953,0.0673,0.0673
AL_279,0.000174,0.000367,-0.000193,0.06815905880993324,0.0667,0.0667
AL_297,1.0,1.0,0.0,0.010363378009402124,0.0665,0.0665
AL_32,0.001297,0.00162,-0.000324,0.41181630748712883,0.0663,0.0663
AL_25,0.000182,0.000195,-1.3e-05,0.06937281230209438,0.065,0.065
AL_286,1.0,1.0,0.0,0.045925513589927934,0.0645,0.0645
AL_241,0.072256,1.0,-0.927744,0.04312305222201119,0.0644,0.0644
AL_144,1.0,1.0,0.0,0.019444790228161188,0.0642,0.0642
AL_189,0.245985,1.0,-0.754015,0.04487217612605706,0.0639,0.0639
AL_75,0.0,1.0,-1.0,0.0360330735950067,0.063,0.063
AL_2,0.00073,0.0027,-0.00197,0.41180572443755403,0.062,0.062
AL_289,0.0,1.0,-1.0,0.060303221011266304,0.0612,0.0612
AL_239,0.000133,0.000289,-0.000156,0.0942338816660456,0.0612,0.0612
AL_311,0.000125,0.000254,-0.000129,0.042000608905535065,0.061,0.061
AL_247,0.000217,0.000564,-0.000347,0.09627998094880831,0.0608,0.0608
AL_254,0.0,1.0,-1.0,0.05697247748723865,0.0604,0.0604
AL_171,0.0,1.0,-1.0,0.029015061498367106,0.0601,0.0601
AL_65,1.0,1.0,0.0,0.00019337126497990815,0.0595,0.0595
AL_39,0.0,1.0,-1.0,0.03549268828178374,0.0595,0.0595
AL_295,0.0,1.0,-1.0,0.02225045585146866,0.0594,0.0594
AL_225,0.0,1.0,-1.0,0.06446508542572246,0.0586,0.0586
AL_271,0.00022,0.000475,-0.000255,0.11497002648146232,0.0576,0.0576
AL_196,0.0,1.0,-1.0,0.07445509666257256,0.0568,0.0568
AL_86,1.0,1.0,0.0,0.05877678233382757,0.0562,0.0562
AL_51,0.0,1.0,-1.0,0.051152427187885735,0.0553,0.0553
AL_180,1.0,1.0,0.0,0.047183480507380436,0.0546,0.0546
AL_4,0.001734,0.0009,0.000834,0.4780780101051333,-0.0536,0.0536
AL_34,0.000496,0.00027,0.000226,0.5135571606548807,-0.0528,0.0528
AL_135,1.0,1.0,0.0,0.057091916289775405,0.0521,0.0521
AL_199,0.000194,0.000487,-0.000294,0.18158311809751448,0.0488,0.0488
AL_162,0.0,1.0,-1.0,0.07773524606704889,0.0486,0.0486
AL_235,0.00024,0.000406,-0.000165,0.18863092870495968,0.0481,0.0481
AL_261,0.0,1.0,-1.0,0.14107637166331985,0.0467,0.0467
AL_84,1.0,1.0,0.0,0.1235202606497799,0.0463,0.0463
AL_60,0.552733,1.0,-0.447267,0.10398141599457236,0.046,0.046
AL_95,1.0,1.0,0.0,0.00021145077506583046,-0.0458,0.0458
AL_205,0.094838,1.0,-0.905162,0.15489109797591252,0.0457,0.0457
AL_326,1.0,1.0,0.0,0.08131576280736294,0.0452,0.0452
AL_310,0.0,1.0,-1.0,0.08341010789208234,0.0451,0.0451
AL_277,0.0,1.0,-1.0,0.16549160535327934,0.0443,0.0443
AL_99,0.0,1.0,-1.0,0.11057705185574876,0.0439,0.0439
AL_168,0.582491,1.0,-0.417509,0.1138700737906116,0.0437,0.0437
AL_3,0.001403,0.001736,-0.000333,0.5751695905710783,0.0424,0.0424
AL_129,0.0,0.67849,-0.67849,0.13403206996922723,0.0421,0.0421
AL_120,1.0,1.0,0.0,0.13698163276243513,0.0409,0.0409
AL_213,0.0,1.0,-1.0,0.20096011409338732,0.0405,0.0405
AL_330,1.0,1.0,0.0,0.13572732632693438,0.0388,0.0388
AL_72,1.0,1.0,0.0,0.18256060197192714,0.0376,0.0376
AL_270,1.0,0.956586,0.043414,0.23924797702826572,-0.0374,0.0374
AL_218,1.0,0.0,1.0,0.23901387520501716,-0.0373,0.0373
AL_281,0.0,1.0,-1.0,0.24258264990711553,0.0372,0.0372
AL_192,0.0,0.480985,-0.480985,0.24565285707988693,0.0371,0.0371
AL_102,1.0,1.0,0.0,0.1793079737497678,0.0369,0.0369
AL_274,1.0,1.0,0.0,0.2454412252687953,0.0366,0.0366
AL_74,1.0,1.0,0.0,0.005646928157362406,0.0364,0.0364
AL_69,0.0,1.0,-1.0,0.20130768011954092,0.0363,0.0363
AL_268,1.0,0.385816,0.614184,0.25875648673152607,-0.0359,0.0359
AL_147,1.0,1.0,0.0,0.19590071828400957,0.0356,0.0356
AL_259,1.0,1.0,0.0,0.26385434508742167,0.0353,0.0353
AL_322,0.0,1.0,-1.0,0.1750020197691724,0.0352,0.0352
AL_18,0.000152,0.00018,-2.8e-05,0.33500364277803707,0.0345,0.0345
AL_177,0.0,1.0,-1.0,0.2331886411532066,0.0328,0.0328
AL_232,0.0,1.0,-1.0,0.3041449276799981,0.0326,0.0326
AL_198,0.225665,1.0,-0.774335,0.3109014678991904,0.0326,0.0326
AL_63,1.0,1.0,0.0,0.24965698766865996,0.0325,0.0325
AL_156,1.0,1.0,0.0,0.2407461735023505,0.0323,0.0323
AL_265,1.0,1.0,0.0,0.3196523879379527,0.0314,0.0314
AL_257,0.0,1.0,-1.0,0.3482229090856491,0.0298,0.0298
AL_6,0.0009,0.0009,-0.0,0.6965255114159835,0.0295,0.0295
AL_302,0.000112,0.000194,-8.2e-05,0.32932838006494025,0.0293,0.0293
AL_217,0.0,1.0,-1.0,0.4287072627336036,0.029,0.029
AL_258,0.0,1.0,-1.0,0.36266993020642124,0.0288,0.0288
AL_278,1.0,1.0,0.0,0.3697200536025441,0.0284,0.0284
AL_48,0.0,1.0,-1.0,0.319948349816379,0.0282,0.0282
AL_238,1.0,0.0,1.0,0.3805175914652261,-0.0279,0.0279
AL_319,0.000124,0.000134,-1e-05,0.4056493737326171,0.0249,0.0249
AL_328,1.0,1.0,0.0,0.10060218070373196,-0.0237,0.0237
AL_54,1.0,0.0,1.0,0.4019913896889029,-0.0237,0.0237
AL_114,1.0,1.0,0.0,0.3988445714683846,0.0232,0.0232
AL_209,0.973242,0.0,0.973242,0.48254145385594815,-0.0225,0.0225
AL_57,0.655348,1.0,-0.344652,0.45137214825352356,0.0215,0.0215
AL_62,1.0,1.0,0.0,0.018763776387159686,0.0213,0.0213
AL_21,0.000203,0.000282,-7.9e-05,0.5548165133591292,0.0211,0.0211
AL_89,1.0,1.0,0.0,0.2846596676493468,0.021,0.021
AL_193,1.0,1.0,0.0,0.5085744095373296,0.0209,0.0209
AL_245,0.813545,1.0,-0.186455,0.5147566709977802,0.0207,0.0207
AL_56,1.0,1.0,0.0,0.21087111056915864,0.0206,0.0206
AL_183,1.0,1.0,0.0,0.5394313479938642,0.0198,0.0198
AL_49,0.000145,0.000133,1.1e-05,0.5535250466401258,0.0193,0.0193
AL_246,0.0,1.0,-1.0,0.5438108400106029,0.0192,0.0192
AL_237,1.0,0.422217,0.577783,0.5621373295063565,-0.0185,0.0185
AL_150,1.0,1.0,0.0,0.507746853474887,0.0183,0.0183
AL_317,1.0,0.0,1.0,0.4876582202466576,-0.0181,0.0181
AL_67,0.000111,0.000158,-4.7e-05,0.5891125816936182,-0.0176,0.0176
AL_126,1.0,1.0,0.0,0.5285272919135356,0.0173,0.0173
AL_66,0.0,0.554493,-0.554493,0.5562443643991448,0.0169,0.0169
AL_314,1.0,1.0,0.0,0.5192705051635216,0.0167,0.0167
AL_313,0.0,1.0,-1.0,0.5240957854886068,0.0166,0.0166
AL_242,0.0,1.0,-1.0,0.6037970823867503,0.0165,0.0165
AL_253,0.0,1.0,-1.0,0.6113767334948027,0.0164,0.0164
AL_68,1.0,1.0,0.0,0.4567910944447562,-0.0163,0.0163
AL_174,1.0,1.0,0.0,0.5917078008359368,0.0148,0.0148
AL_141,1.0,1.0,0.0,0.6067493065088096,0.0142,0.0142
AL_111,1.0,1.0,0.0,0.6186539877392906,0.0137,0.0137
AL_228,1.0,1.0,0.0,0.6667110286481898,0.0137,0.0137
AL_273,0.0,0.0,0.0,0.6731496026743302,0.0136,0.0136
AL_334,0.0,1.0,-1.0,0.6072171875849012,0.0134,0.0134
AL_187,1.0,1.0,0.0,0.675188949748706,0.0133,0.0133
AL_321,0.0,0.0,0.0,0.6127687751256168,0.0132,0.0132
AL_53,1.0,1.0,0.0,0.5685932356907376,0.0126,0.0126
AL_201,0.213951,0.13309,0.080862,0.709011938541477,-0.0123,0.0123
AL_293,1.0,1.0,0.0,0.7017410451208739,0.0122,0.0122
AL_44,1.0,1.0,0.0,0.042528093283095765,0.0117,0.0117
AL_249,1.0,1.0,0.0,0.7223066229108196,0.0113,0.0113
AL_300,0.750636,1.0,-0.249364,0.671077613757898,0.011,0.011
AL_78,1.0,1.0,0.0,0.7202957009281472,0.0107,0.0107
AL_108,1.0,1.0,0.0,0.7041865159204499,0.0105,0.0105
AL_264,0.0,0.0,0.0,0.7435530608037644,0.0104,0.0104
AL_294,1.0,1.0,0.0,0.7712135466335932,0.0092,0.0092
AL_210,1.0,1.0,0.0,0.7712900238274013,0.0092,0.0092
AL_285,1.0,1.0,0.0,0.771263428805621,0.0092,0.0092
AL_329,1.0,1.0,0.0,0.7425256574249244,0.0085,0.0085
AL_221,1.0,1.0,0.0,0.7997566922212656,-0.0081,0.0081
AL_159,1.0,1.0,0.0,0.7683587085498551,0.0081,0.0081
AL_132,1.0,1.0,0.0,0.7704038379479986,-0.008,0.008
AL_308,1.0,1.0,0.0,0.7794559272811387,0.0073,0.0073
AL_41,1.0,1.0,0.0,0.23987856813495245,0.0072,0.0072
AL_117,1.0,1.0,0.0,0.7973082094302488,0.0071,0.0071
AL_59,1.0,1.0,0.0,0.5690088387321729,-0.0071,0.0071
AL_105,0.717705,0.561165,0.15654,0.8110650137194004,-0.0067,0.0067
AL_87,1.0,1.0,0.0,0.8339106036211191,-0.0063,0.0063
AL_90,1.0,1.0,0.0,0.8350941995229558,0.0062,0.0062
AL_288,1.0,1.0,0.0,0.09032302045780936,-0.005,0.005
AL_71,1.0,1.0,0.0,0.7833406298909744,-0.0047,0.0047
AL_153,1.0,1.0,0.0,0.8975016478866995,0.0035,0.0035
AL_216,1.0,1.0,0.0,0.2927898098603855,-0.0028,0.0028
AL_301,0.004834,0.043376,-0.038542,0.9237328657229872,0.0026,0.0026
AL_252,1.0,1.0,0.0,0.23176776173595204,-0.0025,0.0025
AL_138,1.0,1.0,0.0,0.9265085014477199,0.0025,0.0025
AL_267,1.0,1.0,0.0,0.22104101069902493,-0.0024,0.0024
AL_200,1.0,1.0,0.0,0.22104101069902493,-0.0024,0.0024
AL_269,1.0,1.0,0.0,0.22104101069902493,-0.0024,0.0024
AL_240,1.0,1.0,0.0,0.22104101069902493,-0.0024,0.0024
AL_204,1.0,1.0,0.0,0.22104101069902493,-0.0024,0.0024
AL_227,1.0,1.0,0.0,0.22104101069902493,-0.0024,0.0024
AL_50,1.0,1.0,0.0,0.9252127338901551,-0.002,0.002
AL_325,0.0,0.0,0.0,0.9580419776064502,-0.0014,0.0014
AL_229,1.0,1.0,0.0,0.9795687027657599,-0.0008,0.0008
AL_304,0.005275,0.035275,-0.030001,0.9769103641414759,-0.0008,0.0008
AL_47,1.0,1.0,0.0,0.9454473667848196,0.0005,0.0005
AL_333,1.0,1.0,0.0,0.9893632554890012,0.0003,0.0003
AL_170,1.0,1.0,0.0,1.0,0.0,0.0
AL_161,1.0,1.0,0.0,1.0,0.0,0.0
AL_164,1.0,1.0,0.0,1.0,0.0,0.0
AL_316,1.0,1.0,0.0,1.0,0.0,0.0
AL_191,1.0,1.0,0.0,1.0,0.0,0.0
AL_167,1.0,1.0,0.0,1.0,0.0,0.0
AL_116,1.0,1.0,0.0,1.0,0.0,0.0
AL_220,1.0,1.0,0.0,1.0,0.0,0.0
AL_320,1.0,1.0,0.0,1.0,0.0,0.0
AL_101,1.0,1.0,0.0,1.0,0.0,0.0
AL_179,1.0,1.0,0.0,1.0,0.0,0.0
AL_173,1.0,1.0,0.0,1.0,0.0,0.0
AL_324,1.0,1.0,0.0,1.0,0.0,0.0
AL_195,1.0,1.0,0.0,1.0,0.0,0.0
AL_113,1.0,1.0,0.0,1.0,0.0,0.0
AL_212,1.0,1.0,0.0,1.0,0.0,0.0
AL_312,1.0,1.0,0.0,1.0,0.0,0.0
AL_104,1.0,1.0,0.0,1.0,0.0,0.0
AL_182,1.0,1.0,0.0,1.0,0.0,0.0
AL_176,1.0,1.0,0.0,1.0,0.0,0.0
AL_110,1.0,1.0,0.0,1.0,0.0,0.0
AL_197,1.0,1.0,0.0,1.0,0.0,0.0
AL_107,1.0,1.0,0.0,1.0,0.0,0.0
AL_332,1.0,1.0,0.0,1.0,0.0,0.0
AL_208,1.0,1.0,0.0,1.0,0.0,0.0
AL_231,1.0,1.0,0.0,1.0,0.0,0.0
AL_119,1.0,1.0,0.0,1.0,0.0,0.0
AL_248,1.0,1.0,0.0,1.0,0.0,0.0
AL_143,1.0,1.0,0.0,1.0,0.0,0.0
AL_272,1.0,1.0,0.0,1.0,0.0,0.0
AL_263,1.0,1.0,0.0,1.0,0.0,0.0
AL_146,1.0,1.0,0.0,1.0,0.0,0.0
AL_140,1.0,1.0,0.0,1.0,0.0,0.0
AL_276,1.0,1.0,0.0,1.0,0.0,0.0
AL_149,1.0,1.0,0.0,1.0,0.0,0.0
AL_256,1.0,1.0,0.0,1.0,0.0,0.0
AL_280,1.0,1.0,0.0,1.0,0.0,0.0
AL_137,1.0,1.0,0.0,1.0,0.0,0.0
AL_152,1.0,1.0,0.0,1.0,0.0,0.0
AL_284,1.0,1.0,0.0,1.0,0.0,0.0
AL_134,1.0,1.0,0.0,1.0,0.0,0.0
AL_244,1.0,1.0,0.0,1.0,0.0,0.0
AL_80,1.0,1.0,0.0,1.0,0.0,0.0
AL_131,1.0,1.0,0.0,1.0,0.0,0.0
AL_292,1.0,1.0,0.0,1.0,0.0,0.0
AL_155,1.0,1.0,0.0,1.0,0.0,0.0
AL_128,1.0,1.0,0.0,1.0,0.0,0.0
AL_158,1.0,1.0,0.0,1.0,0.0,0.0
AL_125,1.0,1.0,0.0,1.0,0.0,0.0
AL_299,1.0,1.0,0.0,1.0,0.0,0.0
AL_236,1.0,1.0,0.0,1.0,0.0,0.0
AL_233,1.0,1.0,0.0,1.0,0.0,0.0
AL_303,1.0,1.0,0.0,1.0,0.0,0.0
AL_122,1.0,1.0,0.0,1.0,0.0,0.0
AL_307,1.0,1.0,0.0,1.0,0.0,0.0
AL_309,1.0,1.0,0.0,1.0,0.0,0.0
AL_185,264690.0,264690.0,0.0,1.0,0.0,0.0
