,CFTR,KANSER,MASTER,PAH
AL_82,66.7,35.8,40.8,38.7
AL_83,66.7,35.8,40.8,38.7
AL_84,66.7,35.8,40.8,38.7
AL_85,66.7,35.8,40.8,38.7
AL_86,66.7,35.8,40.8,38.7
AL_87,66.7,35.8,40.8,38.7
AL_88,66.7,35.8,40.8,38.7
AL_89,66.7,35.8,40.8,38.7
AL_90,66.7,35.8,40.8,38.7
AL_91,66.7,35.8,40.8,38.7
AL_92,66.7,35.8,40.8,38.7
AL_93,66.7,35.8,40.8,38.7
AL_94,66.7,35.8,40.8,38.7
AL_95,66.7,35.8,40.8,38.7
AL_96,66.7,35.8,40.8,38.7
AL_97,66.7,35.8,40.8,38.7
AL_98,66.7,35.8,40.8,38.7
AL_99,80.2,47.2,50.7,54.3
AL_100,80.2,47.2,50.7,54.3
AL_101,80.2,47.2,50.7,54.3
AL_102,80.2,47.2,50.7,54.3
AL_103,80.2,47.2,50.7,54.3
AL_104,80.2,47.2,50.7,54.3
AL_105,80.2,47.2,50.7,54.3
AL_106,80.2,47.2,50.7,54.3
AL_107,80.2,47.2,50.7,54.3
AL_108,80.2,47.2,50.7,54.3
AL_109,80.2,47.2,50.7,54.3
AL_110,80.2,47.2,50.7,54.3
AL_111,80.2,47.2,50.7,54.3
AL_112,80.2,47.2,50.7,54.3
AL_113,80.2,47.2,50.7,54.3
AL_114,80.2,47.2,50.7,54.3
AL_115,80.2,47.2,50.7,54.3
AL_116,80.2,47.2,50.7,54.3
AL_117,80.2,47.2,50.7,54.3
AL_118,80.2,47.2,50.7,54.3
AL_119,80.2,47.2,50.7,54.3
AL_120,80.2,47.2,50.7,54.3
AL_121,80.2,47.2,50.7,54.3
AL_122,80.2,47.2,50.7,54.3
AL_123,80.2,47.2,50.7,54.3
AL_124,80.2,47.2,50.7,54.3
AL_125,80.2,47.2,50.7,54.3
AL_126,80.2,47.2,50.7,54.3
AL_127,80.2,47.2,50.7,54.3
AL_128,80.2,47.2,50.7,54.3
AL_129,80.2,47.2,50.7,54.3
AL_130,80.2,47.2,50.7,54.3
AL_131,80.2,47.2,50.7,54.3
AL_132,80.2,47.2,50.7,54.3
AL_133,80.2,47.2,50.7,54.3
AL_134,80.2,47.2,50.7,54.3
AL_135,80.2,47.2,50.7,54.3
AL_136,80.2,47.2,50.7,54.3
AL_137,80.2,47.2,50.7,54.3
AL_138,80.2,47.2,50.7,54.3
AL_139,80.2,47.2,50.7,54.3
AL_140,80.2,47.2,50.7,54.3
AL_141,80.2,47.2,50.7,54.3
AL_142,80.2,47.2,50.7,54.3
AL_143,80.2,47.2,50.7,54.3
AL_144,80.2,47.2,50.7,54.3
AL_145,80.2,47.2,50.7,54.3
AL_146,80.2,47.2,50.7,54.3
AL_147,80.2,47.2,50.7,54.3
AL_148,80.2,47.2,50.7,54.3
AL_149,80.2,47.2,50.7,54.3
AL_150,80.2,47.2,50.7,54.3
AL_151,80.2,47.2,50.7,54.3
AL_152,80.2,47.2,50.7,54.3
AL_153,80.2,47.2,50.7,54.3
AL_154,80.2,47.2,50.7,54.3
AL_155,80.2,47.2,50.7,54.3
AL_156,80.2,47.2,50.7,54.3
AL_157,80.2,47.2,50.7,54.3
AL_158,80.2,47.2,50.7,54.3
AL_159,80.2,47.2,50.7,54.3
AL_160,80.2,47.2,50.7,54.3
AL_161,80.2,47.2,50.7,54.3
AL_162,80.2,47.2,50.7,54.3
AL_163,80.2,47.2,50.7,54.3
AL_164,80.2,47.2,50.7,54.3
AL_165,80.2,47.2,50.7,54.3
AL_166,80.2,47.2,50.7,54.3
AL_167,80.2,47.2,50.7,54.3
AL_168,80.2,47.2,50.7,54.3
AL_169,80.2,47.2,50.7,54.3
AL_170,80.2,47.2,50.7,54.3
AL_171,80.2,47.2,50.7,54.3
AL_172,80.2,47.2,50.7,54.3
AL_173,80.2,47.2,50.7,54.3
AL_174,80.2,47.2,50.7,54.3
AL_175,80.2,47.2,50.7,54.3
AL_176,80.2,47.2,50.7,54.3
AL_177,80.2,47.2,50.7,54.3
AL_178,80.2,47.2,50.7,54.3
AL_179,80.2,47.2,50.7,54.3
AL_180,80.2,47.2,50.7,54.3
AL_181,80.2,47.2,50.7,54.3
AL_182,80.2,47.2,50.7,54.3
AL_183,50.5,26.8,33.6,32.0
AL_184,50.5,26.8,33.6,32.0
AL_185,50.5,26.8,33.6,32.0
AL_186,93.7,74.0,68.6,73.4
AL_187,63.1,30.2,35.5,34.9
AL_188,63.1,30.2,35.5,34.9
AL_189,63.1,30.2,35.5,34.9
AL_190,63.1,30.2,35.5,34.9
AL_191,63.1,30.2,35.5,34.9
AL_192,63.1,30.2,35.5,34.9
AL_193,63.1,30.2,35.5,34.9
AL_194,63.1,30.2,35.5,34.9
AL_195,63.1,30.2,35.5,34.9
AL_196,63.1,30.2,35.5,34.9
AL_197,63.1,30.2,35.5,34.9
AL_198,63.1,30.2,35.5,34.9
AL_199,63.1,30.2,35.5,34.9
AL_200,63.1,30.2,35.5,34.9
AL_201,63.1,30.2,35.5,34.9
AL_202,63.1,30.2,35.5,34.9
AL_203,63.1,30.2,35.5,34.9
AL_204,63.1,30.2,35.5,34.9
AL_205,63.1,30.2,35.5,34.9
AL_206,63.1,30.2,35.5,34.9
AL_207,63.1,30.2,35.5,34.9
AL_208,63.1,30.2,35.5,34.9
AL_209,63.1,30.2,35.5,34.9
AL_210,63.1,30.2,35.5,34.9
AL_211,63.1,30.2,35.5,34.9
AL_212,63.1,30.2,35.5,34.9
AL_213,63.1,30.2,35.5,34.9
AL_214,49.5,22.7,25.7,22.8
AL_215,49.5,22.7,25.7,22.8
AL_216,49.5,22.7,25.7,22.8
AL_217,49.5,22.7,25.7,22.8
AL_218,63.1,30.2,35.5,34.9
AL_219,63.1,30.2,35.5,34.9
AL_220,63.1,30.2,35.5,34.9
AL_221,63.1,30.2,35.5,34.9
AL_222,63.1,30.2,35.5,34.9
AL_223,63.1,30.2,35.5,34.9
AL_224,63.1,30.2,35.5,34.9
AL_225,63.1,30.2,35.5,34.9
AL_226,63.1,30.2,35.5,34.9
AL_227,63.1,30.2,35.5,34.9
AL_228,63.1,30.2,35.5,34.9
AL_229,63.1,30.2,35.5,34.9
AL_230,63.1,30.2,35.5,34.9
AL_231,63.1,30.2,35.5,34.9
AL_232,63.1,30.2,35.5,34.9
AL_233,63.1,30.2,35.5,34.9
AL_234,63.1,30.2,35.5,34.9
AL_235,63.1,30.2,35.5,34.9
AL_236,63.1,30.2,35.5,34.9
AL_237,63.1,30.2,35.5,34.9
AL_238,63.1,30.2,35.5,34.9
AL_239,63.1,30.2,35.5,34.9
AL_240,63.1,30.2,35.5,34.9
AL_241,63.1,30.2,35.5,34.9
AL_242,63.1,30.2,35.5,34.9
AL_243,63.1,30.2,35.5,34.9
AL_244,63.1,30.2,35.5,34.9
AL_245,63.1,30.2,35.5,34.9
AL_246,63.1,30.2,35.5,34.9
AL_247,63.1,30.2,35.5,34.9
AL_248,63.1,30.2,35.5,34.9
AL_249,63.1,30.2,35.5,34.9
AL_250,61.3,27.8,33.8,33.1
AL_251,61.3,27.8,33.8,33.1
AL_252,61.3,27.8,33.8,33.1
AL_253,61.3,27.8,33.8,33.1
AL_254,63.1,30.2,35.5,34.9
AL_255,63.1,30.2,35.5,34.9
AL_256,63.1,30.2,35.5,34.9
AL_257,63.1,30.2,35.5,34.9
AL_258,63.1,30.2,35.5,34.9
AL_259,63.1,30.2,35.5,34.9
AL_260,63.1,30.2,35.5,34.9
AL_261,63.1,30.2,35.5,34.9
AL_262,63.1,30.2,35.5,34.9
AL_263,63.1,30.2,35.5,34.9
AL_264,63.1,30.2,35.5,34.9
AL_265,63.1,30.2,35.5,34.9
AL_266,63.1,30.2,35.5,34.9
AL_267,63.1,30.2,35.5,34.9
AL_268,63.1,30.2,35.5,34.9
AL_269,63.1,30.2,35.5,34.9
AL_270,63.1,30.2,35.5,34.9
AL_271,63.1,30.2,35.5,34.9
AL_272,63.1,30.2,35.5,34.9
AL_273,63.1,30.2,35.5,34.9
AL_274,63.1,30.2,35.5,34.9
AL_275,63.1,30.2,35.5,34.9
AL_276,63.1,30.2,35.5,34.9
AL_277,63.1,30.2,35.5,34.9
AL_278,63.1,30.2,35.5,34.9
AL_279,63.1,30.2,35.5,34.9
AL_280,63.1,30.2,35.5,34.9
AL_281,63.1,30.2,35.5,34.9
AL_282,63.1,30.2,35.5,34.9
AL_283,63.1,30.2,35.5,34.9
AL_284,63.1,30.2,35.5,34.9
AL_285,63.1,30.2,35.5,34.9
AL_286,62.2,28.4,33.4,32.8
AL_287,62.2,28.4,33.4,32.8
AL_288,62.2,28.4,33.4,32.8
AL_289,62.2,28.4,33.4,32.8
AL_290,63.1,30.2,35.5,34.9
AL_291,63.1,30.2,35.5,34.9
AL_292,63.1,30.2,35.5,34.9
AL_293,63.1,30.2,35.5,34.9
AL_294,63.1,30.2,35.5,34.9
AL_295,86.5,51.0,55.7,66.1
AL_296,86.5,51.0,55.7,66.1
AL_297,86.5,51.0,55.7,66.1
AL_298,86.5,51.0,55.7,66.1
AL_299,86.5,51.0,55.7,66.1
AL_300,86.5,51.0,55.7,66.1
AL_301,86.5,51.0,55.7,66.1
AL_302,86.5,51.0,55.7,66.1
AL_303,86.5,51.0,55.7,66.1
AL_304,86.5,51.0,55.7,66.1
AL_305,86.5,51.0,55.7,66.1
AL_306,86.5,51.0,55.7,66.1
AL_307,86.5,51.0,55.7,66.1
AL_308,86.5,51.0,55.7,66.1
AL_309,86.5,51.0,55.7,66.1
AL_310,86.5,51.0,55.7,66.1
AL_311,86.5,51.0,55.7,66.1
AL_312,86.5,51.0,55.7,66.1
AL_313,86.5,51.0,55.7,66.1
AL_314,86.5,51.0,55.7,66.1
AL_315,86.5,51.0,55.7,66.1
AL_316,86.5,51.0,55.7,66.1
AL_317,86.5,51.0,55.7,66.1
AL_318,86.5,51.0,55.7,66.1
AL_319,86.5,51.0,55.7,66.1
AL_320,86.5,51.0,55.7,66.1
AL_321,86.5,51.0,55.7,66.1
AL_322,86.5,51.0,55.7,66.1
AL_323,86.5,51.0,55.7,66.1
AL_324,86.5,51.0,55.7,66.1
AL_325,86.5,51.0,55.7,66.1
AL_326,86.5,51.0,55.7,66.1
AL_327,86.5,51.0,55.7,66.1
AL_328,86.5,51.0,55.7,66.1
AL_329,86.5,51.0,55.7,66.1
AL_330,86.5,51.0,55.7,66.1
AL_331,86.5,51.0,55.7,66.1
AL_332,86.5,51.0,55.7,66.1
AL_333,86.5,51.0,55.7,66.1
AL_334,86.5,51.0,55.7,66.1
