Column,Count,Missing%,Mean,Median,Std,Min,Q1,Q3,Max,Skewness,Unique,N Outliers (3xIQR),Inferred Type
AL_25,1055,64.01,0.013271,0.000187,0.053631,0.0,0.0,0.004807,0.9,10.1798,1055,155,"probability/score [0,1]"
AL_26,1846,37.02,0.014779,0.00087,0.055677,0.0,5.3e-05,0.008687,0.900165,9.724,1843,200,"probability/score [0,1]"
AL_27,252,91.4,0.580438,1.0,0.492152,0.0,0.0,1.0,1.0,-0.3292,6,0,"probability/score [0,1]"
AL_28,252,91.4,0.025095,0.002158,0.077831,7.4e-05,0.000539,0.017477,0.891578,7.3051,251,22,"probability/score [0,1]"
AL_29,252,91.4,0.589201,1.0,0.490086,0.0,0.0,1.0,1.0,-0.3646,5,0,"probability/score [0,1]"
AL_30,252,91.4,0.02563,0.001629,0.090067,0.0,6e-06,0.012138,0.863641,6.4733,252,26,"probability/score [0,1]"
AL_31,252,91.4,0.511354,0.750346,0.492304,0.0,0.0,1.0,1.0,-0.0406,14,0,"probability/score [0,1]"
AL_32,252,91.4,0.020615,0.001332,0.077365,0.0,3e-06,0.010001,0.911791,8.4828,251,26,"probability/score [0,1]"
AL_33,252,91.4,0.50386,0.561644,0.494133,0.0,0.0,1.0,1.0,-0.0132,13,0,"probability/score [0,1]"
AL_34,252,91.4,0.020347,0.00031,0.082318,0.0,1e-06,0.005179,0.904552,7.8035,252,40,"probability/score [0,1]"
AL_35,252,91.4,0.533367,1.0,0.494316,0.0,0.0,1.0,1.0,-0.1299,10,0,"probability/score [0,1]"
AL_36,252,91.4,0.021512,0.001569,0.08053,0.0,4.7e-05,0.010854,0.900093,7.7653,252,23,"probability/score [0,1]"
AL_37,252,91.4,0.568973,1.0,0.488756,0.0,0.0,1.0,1.0,-0.28,12,0,"probability/score [0,1]"
AL_38,252,91.4,0.024447,0.000923,0.08205,0.0,1e-06,0.014633,0.900011,7.0581,250,22,"probability/score [0,1]"
AL_39,1514,48.35,0.514679,1.0,0.499741,0.0,0.0,1.0,1.0,-0.0588,4,0,"probability/score [0,1]"
AL_40,1514,48.35,0.011578,0.000373,0.038856,0.0,2e-06,0.006839,0.943771,13.5483,1514,200,"probability/score [0,1]"
AL_41,1514,48.35,0.988111,1.0,0.108423,0.0,1.0,1.0,1.0,-9.0158,2,18,"probability/score [0,1]"
AL_42,1514,48.35,0.498679,0.0,0.500163,0.0,0.0,1.0,1.0,0.0053,2,0,"probability/score [0,1]"
AL_43,1514,48.35,0.009977,0.000214,0.036382,0.0,1e-06,0.005565,0.863194,13.5366,1514,192,"probability/score [0,1]"
AL_44,1514,48.35,0.989432,1.0,0.10229,0.0,1.0,1.0,1.0,-9.5821,2,16,"probability/score [0,1]"
AL_45,1514,48.35,0.479079,0.105109,0.490538,0.0,0.0,1.0,1.0,0.0827,83,0,"probability/score [0,1]"
AL_46,1514,48.35,0.012791,0.00024,0.040569,0.0,0.0,0.008474,0.857164,11.7917,1514,200,"probability/score [0,1]"
AL_47,1514,48.35,0.982157,1.0,0.131321,0.0,1.0,1.0,1.0,-7.2901,4,28,"probability/score [0,1]"
AL_48,1514,48.35,0.502033,0.717167,0.498534,0.0,0.0,1.0,1.0,-0.0086,15,0,"probability/score [0,1]"
AL_49,1514,48.35,0.009136,0.00014,0.037328,0.0,0.0,0.004266,0.9,15.0979,1514,198,"probability/score [0,1]"
AL_50,1514,48.35,0.823347,1.0,0.381286,0.0,1.0,1.0,1.0,-1.6975,3,268,"probability/score [0,1]"
AL_51,1514,48.35,0.501151,0.740551,0.499221,0.0,0.0,1.0,1.0,-0.005,10,0,"probability/score [0,1]"
AL_52,1514,48.35,0.010453,0.000139,0.038637,0.0,0.0,0.005996,0.900006,14.0235,1514,181,"probability/score [0,1]"
AL_53,1514,48.35,0.811539,1.0,0.390713,0.0,1.0,1.0,1.0,-1.5951,6,287,"probability/score [0,1]"
AL_54,1514,48.35,0.498679,0.0,0.500163,0.0,0.0,1.0,1.0,0.0053,2,0,"probability/score [0,1]"
AL_55,1514,48.35,0.010227,0.000227,0.038115,0.0,1.2e-05,0.005219,0.92503,14.2087,1514,197,"probability/score [0,1]"
AL_56,1514,48.35,0.906209,1.0,0.291634,0.0,1.0,1.0,1.0,-2.7894,2,142,"probability/score [0,1]"
AL_57,1514,48.35,0.507241,0.854369,0.497111,0.0,0.0,1.0,1.0,-0.0298,29,0,"probability/score [0,1]"
AL_58,1514,48.35,0.010573,0.000273,0.035372,0.0,0.0,0.006553,0.885813,13.6553,1514,186,"probability/score [0,1]"
AL_59,1514,48.35,0.948481,1.0,0.221127,0.0,1.0,1.0,1.0,-4.0617,2,78,"probability/score [0,1]"
AL_60,1514,48.35,0.513589,1.0,0.499284,0.0,0.0,1.0,1.0,-0.0544,8,0,"probability/score [0,1]"
AL_61,1514,48.35,0.00848,0.000162,0.034873,0.0,0.0,0.003556,0.913457,16.3401,1514,208,"probability/score [0,1]"
AL_62,1514,48.35,0.974092,1.0,0.157922,0.0,1.0,1.0,1.0,-5.9653,4,40,"probability/score [0,1]"
AL_63,1514,48.35,0.533591,1.0,0.498643,0.0,0.0,1.0,1.0,-0.1343,6,0,"probability/score [0,1]"
AL_64,1514,48.35,0.009727,0.000345,0.03556,0.0,1e-06,0.005954,0.897416,14.9244,1514,185,"probability/score [0,1]"
AL_65,1514,48.35,0.913043,1.0,0.2816,0.0,1.0,1.0,1.0,-2.9336,3,132,"probability/score [0,1]"
AL_66,1514,48.35,0.488867,0.18945,0.494274,0.0,0.0,1.0,1.0,0.0445,50,0,"probability/score [0,1]"
AL_67,1514,48.35,0.009874,0.000119,0.035112,0.0,0.0,0.005586,0.900003,15.0054,1514,210,"probability/score [0,1]"
AL_68,1514,48.35,0.816329,1.0,0.386744,0.0,1.0,1.0,1.0,-1.6347,6,280,"probability/score [0,1]"
AL_69,1514,48.35,0.503859,0.801705,0.49835,0.0,0.0,1.0,1.0,-0.0159,18,0,"probability/score [0,1]"
AL_70,1514,48.35,0.010517,0.000169,0.03712,0.0,0.0,0.00516,0.900001,13.22,1514,207,"probability/score [0,1]"
AL_71,1514,48.35,0.898421,1.0,0.301346,0.0,1.0,1.0,1.0,-2.6395,6,156,"probability/score [0,1]"
AL_72,1514,48.35,0.523118,1.0,0.49963,0.0,0.0,1.0,1.0,-0.0927,2,0,"probability/score [0,1]"
AL_73,1514,48.35,0.0094,0.000309,0.036643,0.0,2.1e-05,0.004797,0.89403,14.9092,1514,197,"probability/score [0,1]"
AL_74,1514,48.35,0.942536,1.0,0.232803,0.0,1.0,1.0,1.0,-3.8068,2,87,"probability/score [0,1]"
AL_75,1197,59.16,0.505943,1.0,0.499976,0.0,0.0,1.0,1.0,-0.024,3,0,"probability/score [0,1]"
AL_76,1197,59.16,0.012641,0.000255,0.044154,0.0,9e-06,0.007513,0.858424,11.0672,1197,144,"probability/score [0,1]"
AL_77,1197,59.16,0.760234,1.0,0.427119,0.0,1.0,1.0,1.0,-1.2206,2,287,"probability/score [0,1]"
AL_78,1197,59.16,0.532164,1.0,0.499173,0.0,0.0,1.0,1.0,-0.1291,2,0,"probability/score [0,1]"
AL_79,1197,59.16,0.010166,0.0003,0.039118,2e-06,1.8e-05,0.005243,0.898817,13.8509,1195,151,"probability/score [0,1]"
AL_80,1197,59.16,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_81,1197,59.16,0.518659,1.0,0.499663,0.0,0.0,1.0,1.0,-0.0749,4,0,"probability/score [0,1]"
AL_82,1197,59.16,0.009978,0.000183,0.039013,0.0,1.1e-05,0.004508,0.902748,14.6376,1195,172,"probability/score [0,1]"
AL_83,1197,59.16,0.747703,1.0,0.434513,0.0,0.0,1.0,1.0,-1.142,2,0,"probability/score [0,1]"
AL_84,1197,59.16,0.524915,1.0,0.498852,0.0,0.0,1.0,1.0,-0.1,8,0,"probability/score [0,1]"
AL_85,1197,59.16,0.010784,0.000159,0.041639,0.0,0.0,0.005489,0.906461,13.7261,1196,156,"probability/score [0,1]"
AL_86,1197,59.16,0.569758,1.0,0.495317,0.0,0.0,1.0,1.0,-0.2821,2,0,"probability/score [0,1]"
AL_87,1197,59.16,0.538248,1.0,0.498573,0.0,0.0,1.0,1.0,-0.1533,3,0,"probability/score [0,1]"
AL_88,1197,59.16,0.010345,0.0002,0.040933,0.0,1.3e-05,0.004997,0.899835,13.6038,1193,163,"probability/score [0,1]"
AL_89,1197,59.16,0.878864,1.0,0.326422,0.0,1.0,1.0,1.0,-2.3252,2,145,"probability/score [0,1]"
AL_90,1197,59.16,0.546303,1.0,0.497944,0.0,0.0,1.0,1.0,-0.1864,4,0,"probability/score [0,1]"
AL_91,1197,59.16,0.009419,0.000291,0.038601,0.0,1.9e-05,0.004242,0.895897,14.3083,1196,157,"probability/score [0,1]"
AL_92,1197,59.16,0.718463,1.0,0.449937,0.0,0.0,1.0,1.0,-0.9727,2,0,"probability/score [0,1]"
AL_93,1197,59.16,0.521303,1.0,0.499755,0.0,0.0,1.0,1.0,-0.0854,2,0,"probability/score [0,1]"
AL_94,1197,59.16,0.013195,0.000626,0.05268,4e-06,6e-05,0.007152,0.9,10.1309,1195,125,"probability/score [0,1]"
AL_95,1197,59.16,0.955723,1.0,0.205797,0.0,1.0,1.0,1.0,-4.4363,2,53,"probability/score [0,1]"
AL_96,1197,59.16,0.484271,0.0,0.496524,0.0,0.0,1.0,1.0,0.0623,23,0,"probability/score [0,1]"
AL_97,1197,59.16,0.011284,0.000195,0.041227,0.0,0.0,0.006194,0.900114,12.5649,1197,154,"probability/score [0,1]"
AL_98,1197,59.16,0.566463,1.0,0.495192,0.0,0.0,1.0,1.0,-0.2686,6,0,"probability/score [0,1]"
AL_99,1486,49.3,0.502019,1.0,0.500164,0.0,0.0,1.0,1.0,-0.0081,2,0,"probability/score [0,1]"
AL_100,1486,49.3,0.011882,0.00036,0.039352,0.0,9e-06,0.007665,0.859593,11.8435,1486,181,"probability/score [0,1]"
AL_101,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_102,1486,49.3,0.532974,1.0,0.499079,0.0,0.0,1.0,1.0,-0.1323,2,0,"probability/score [0,1]"
AL_103,1486,49.3,0.009998,0.000245,0.036816,1e-06,1.1e-05,0.005562,0.911282,14.653,1484,187,"probability/score [0,1]"
AL_104,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_105,1486,49.3,0.505315,0.679901,0.494942,0.0,0.0,1.0,1.0,-0.0219,47,0,"probability/score [0,1]"
AL_106,1486,49.3,0.010348,8.2e-05,0.037462,0.0,0.0,0.005493,0.9,13.558,1486,208,"probability/score [0,1]"
AL_107,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_108,1486,49.3,0.518929,1.0,0.499259,0.0,0.0,1.0,1.0,-0.0757,7,0,"probability/score [0,1]"
AL_109,1486,49.3,0.011176,0.000196,0.037886,0.0,2e-06,0.005864,0.89973,13.3472,1486,208,"probability/score [0,1]"
AL_110,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_111,1486,49.3,0.536339,1.0,0.498846,0.0,0.0,1.0,1.0,-0.1459,2,0,"probability/score [0,1]"
AL_112,1486,49.3,0.009623,0.000228,0.037953,0.0,1.1e-05,0.00579,0.939466,15.1979,1486,166,"probability/score [0,1]"
AL_113,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_114,1486,49.3,0.51566,1.0,0.499683,0.0,0.0,1.0,1.0,-0.0625,5,0,"probability/score [0,1]"
AL_115,1486,49.3,0.010087,0.000186,0.037687,0.0,9e-06,0.00457,0.899461,14.0857,1486,206,"probability/score [0,1]"
AL_116,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_117,1486,49.3,0.509436,1.0,0.499818,0.0,0.0,1.0,1.0,-0.0378,4,0,"probability/score [0,1]"
AL_118,1486,49.3,0.009154,0.000162,0.035767,0.0,6e-06,0.003988,0.905541,15.7926,1486,209,"probability/score [0,1]"
AL_119,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_120,1486,49.3,0.51817,1.0,0.499838,0.0,0.0,1.0,1.0,-0.0728,2,0,"probability/score [0,1]"
AL_121,1486,49.3,0.00973,0.000181,0.037542,0.0,8e-06,0.004698,0.907245,14.4483,1484,192,"probability/score [0,1]"
AL_122,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_123,1486,49.3,0.524193,1.0,0.497384,0.0,0.0,1.0,1.0,-0.0958,26,0,"probability/score [0,1]"
AL_124,1486,49.3,0.010823,0.00024,0.03849,0.0,7e-06,0.005907,0.870833,12.33,1486,186,"probability/score [0,1]"
AL_125,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_126,1486,49.3,0.541573,1.0,0.497557,0.0,0.0,1.0,1.0,-0.1667,9,0,"probability/score [0,1]"
AL_127,1486,49.3,0.009373,0.000189,0.035524,0.0,7e-06,0.005007,0.898563,15.9464,1486,200,"probability/score [0,1]"
AL_128,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_129,1486,49.3,0.483808,0.130556,0.492585,0.0,0.0,1.0,1.0,0.0659,69,0,"probability/score [0,1]"
AL_130,1486,49.3,0.009776,0.000184,0.037585,0.0,5e-06,0.004284,0.899926,14.1065,1486,217,"probability/score [0,1]"
AL_131,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_132,1486,49.3,0.52845,1.0,0.499223,0.0,0.0,1.0,1.0,-0.1139,3,0,"probability/score [0,1]"
AL_133,1486,49.3,0.009903,0.000199,0.038614,0.0,8e-06,0.004617,0.951568,14.8642,1486,203,"probability/score [0,1]"
AL_134,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_135,1486,49.3,0.555182,1.0,0.497113,0.0,0.0,1.0,1.0,-0.2223,2,0,"probability/score [0,1]"
AL_136,1486,49.3,0.011445,0.000233,0.039447,0.0,7e-06,0.006272,0.865504,12.0291,1486,202,"probability/score [0,1]"
AL_137,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_138,1486,49.3,0.515478,1.0,0.499929,0.0,0.0,1.0,1.0,-0.062,2,0,"probability/score [0,1]"
AL_139,1486,49.3,0.009449,0.000202,0.036387,0.0,6e-06,0.005131,0.9079,16.1751,1486,191,"probability/score [0,1]"
AL_140,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_141,1486,49.3,0.519642,1.0,0.499294,0.0,0.0,1.0,1.0,-0.0791,7,0,"probability/score [0,1]"
AL_142,1486,49.3,0.009977,0.000171,0.037671,0.0,3e-06,0.004653,0.899731,13.4021,1486,201,"probability/score [0,1]"
AL_143,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_144,1486,49.3,0.537012,1.0,0.498796,0.0,0.0,1.0,1.0,-0.1486,2,0,"probability/score [0,1]"
AL_145,1486,49.3,0.01064,0.000213,0.038013,0.0,8e-06,0.007134,0.89955,13.9221,1486,172,"probability/score [0,1]"
AL_146,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_147,1486,49.3,0.525982,1.0,0.498766,0.0,0.0,1.0,1.0,-0.1045,7,0,"probability/score [0,1]"
AL_148,1486,49.3,0.010307,0.000256,0.038021,0.0,7e-06,0.005275,0.898922,14.3641,1486,205,"probability/score [0,1]"
AL_149,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_150,1486,49.3,0.526147,1.0,0.49781,0.0,0.0,1.0,1.0,-0.1047,14,0,"probability/score [0,1]"
AL_151,1486,49.3,0.01067,0.000326,0.036894,0.0,7e-06,0.006189,0.899789,13.6513,1486,177,"probability/score [0,1]"
AL_152,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_153,1486,49.3,0.512786,1.0,0.500005,0.0,0.0,1.0,1.0,-0.0512,2,0,"probability/score [0,1]"
AL_154,1486,49.3,0.008547,0.00014,0.035041,0.0,5e-06,0.003616,0.89802,16.61,1486,215,"probability/score [0,1]"
AL_155,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_156,1486,49.3,0.518792,1.0,0.499484,0.0,0.0,1.0,1.0,-0.0753,6,0,"probability/score [0,1]"
AL_157,1486,49.3,0.011721,0.000312,0.039435,0.0,8e-06,0.006603,0.85968,11.7904,1486,197,"probability/score [0,1]"
AL_158,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_159,1486,49.3,0.505645,1.0,0.499876,0.0,0.0,1.0,1.0,-0.0227,5,0,"probability/score [0,1]"
AL_160,1486,49.3,0.009994,0.0002,0.037257,0.0,8e-06,0.005247,0.899795,14.3485,1486,188,"probability/score [0,1]"
AL_161,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_162,1486,49.3,0.508581,1.0,0.499763,0.0,0.0,1.0,1.0,-0.0339,5,0,"probability/score [0,1]"
AL_163,1486,49.3,0.009991,0.00019,0.036397,0.0,7e-06,0.005336,0.89973,13.9564,1486,196,"probability/score [0,1]"
AL_164,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_165,1486,49.3,0.522025,1.0,0.499506,0.0,0.0,1.0,1.0,-0.0884,4,0,"probability/score [0,1]"
AL_166,1486,49.3,0.010152,0.000199,0.03642,0.0,9e-06,0.005564,0.899906,13.9855,1486,188,"probability/score [0,1]"
AL_167,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_168,1486,49.3,0.513877,1.0,0.498966,0.0,0.0,1.0,1.0,-0.0565,12,0,"probability/score [0,1]"
AL_169,1486,49.3,0.01026,0.00022,0.036788,0.0,3e-06,0.005426,0.902868,14.5999,1486,198,"probability/score [0,1]"
AL_170,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_171,1486,49.3,0.517127,1.0,0.49967,0.0,0.0,1.0,1.0,-0.0683,4,0,"probability/score [0,1]"
AL_172,1486,49.3,0.008294,0.000164,0.034536,0.0,6e-06,0.004575,0.895951,16.7828,1486,177,"probability/score [0,1]"
AL_173,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_174,1486,49.3,0.52562,1.0,0.498173,0.0,0.0,1.0,1.0,-0.1034,13,0,"probability/score [0,1]"
AL_175,1486,49.3,0.011218,0.000219,0.040361,0.0,7e-06,0.006294,0.862152,12.1994,1486,198,"probability/score [0,1]"
AL_176,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_177,1486,49.3,0.503365,1.0,0.500157,0.0,0.0,1.0,1.0,-0.0135,2,0,"probability/score [0,1]"
AL_178,1486,49.3,0.009718,0.000202,0.036188,0.0,8e-06,0.004976,0.896564,14.8611,1486,189,"probability/score [0,1]"
AL_179,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_180,1486,49.3,0.525816,1.0,0.499321,0.0,0.0,1.0,1.0,-0.1032,4,0,"probability/score [0,1]"
AL_181,1486,49.3,0.01139,0.000307,0.038818,0.0,9e-06,0.006394,0.85878,12.1447,1486,209,"probability/score [0,1]"
AL_182,1486,49.3,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_183,985,66.39,0.548223,1.0,0.497922,0.0,0.0,1.0,1.0,-0.1941,2,0,"probability/score [0,1]"
AL_184,985,66.39,0.010371,0.000278,0.042102,3e-06,2.4e-05,0.004395,0.886086,12.9567,984,138,"probability/score [0,1]"
AL_185,985,66.39,264690.0,264690.0,0.0,264690.0,264690.0,264690.0,264690.0,0.0,1,0,count/position-like
AL_186,2012,31.35,0.011452,0.000747,0.045246,0.0,6.3e-05,0.0065,0.9,11.9517,2012,219,"probability/score [0,1]"
AL_187,1041,64.48,0.529308,1.0,0.499292,0.0,0.0,1.0,1.0,-0.1176,4,0,"probability/score [0,1]"
AL_188,1041,64.48,0.010278,0.000286,0.041315,0.0,2.1e-05,0.005012,0.896742,13.7936,1041,135,"probability/score [0,1]"
AL_189,1041,64.48,0.518904,1.0,0.497187,0.0,0.0,1.0,1.0,-0.0789,17,0,"probability/score [0,1]"
AL_190,1041,64.48,0.012817,0.000286,0.046584,0.0,1e-06,0.007069,0.868157,10.8995,1041,135,"probability/score [0,1]"
AL_191,1041,64.48,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_192,1041,64.48,0.478446,0.0,0.495536,0.0,0.0,1.0,1.0,0.0874,26,0,"probability/score [0,1]"
AL_193,1041,64.48,0.543064,1.0,0.497512,0.0,0.0,1.0,1.0,-0.1737,6,0,"probability/score [0,1]"
AL_194,1041,64.48,0.009151,0.000251,0.040607,0.0,1e-06,0.00405,0.897669,15.1887,1041,137,"probability/score [0,1]"
AL_195,1041,64.48,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_196,1041,64.48,0.507519,1.0,0.498145,0.0,0.0,1.0,1.0,-0.0296,16,0,"probability/score [0,1]"
AL_197,1041,64.48,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_198,1041,64.48,0.501505,0.546734,0.494421,0.0,0.0,1.0,1.0,-0.0059,40,0,"probability/score [0,1]"
AL_199,1041,64.48,0.011595,0.000298,0.042954,0.0,0.0,0.006306,0.900112,13.0187,1041,138,"probability/score [0,1]"
AL_200,1041,64.48,0.999039,1.0,0.030994,0.0,1.0,1.0,1.0,-32.2645,2,1,"probability/score [0,1]"
AL_201,1041,64.48,0.467689,0.202944,0.482265,0.0,0.0,1.0,1.0,0.126,98,0,"probability/score [0,1]"
AL_202,1041,64.48,0.505207,0.694391,0.49729,0.0,0.0,1.0,1.0,-0.0208,18,0,"probability/score [0,1]"
AL_203,1041,64.48,0.012327,0.000197,0.044393,0.0,0.0,0.006495,0.940026,13.1443,1038,150,"probability/score [0,1]"
AL_204,1041,64.48,0.999039,1.0,0.030994,0.0,1.0,1.0,1.0,-32.2645,2,1,"probability/score [0,1]"
AL_205,1041,64.48,0.501463,0.5313,0.495341,0.0,0.0,1.0,1.0,-0.0054,35,0,"probability/score [0,1]"
AL_206,1041,64.48,0.538746,1.0,0.497898,0.0,0.0,1.0,1.0,-0.1559,7,0,"probability/score [0,1]"
AL_207,1041,64.48,0.011077,0.000136,0.04337,0.0,0.0,0.005491,0.9,13.0012,1041,140,"probability/score [0,1]"
AL_208,1041,64.48,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_209,1041,64.48,0.49978,0.506175,0.496391,0.0,0.0,1.0,1.0,0.0011,23,0,"probability/score [0,1]"
AL_210,1041,64.48,0.526631,1.0,0.499363,0.0,0.0,1.0,1.0,-0.1065,3,0,"probability/score [0,1]"
AL_211,1041,64.48,0.010912,0.00016,0.044195,0.0,2.1e-05,0.004926,0.904551,13.1884,1041,146,"probability/score [0,1]"
AL_212,1041,64.48,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1,0,"probability/score [0,1]"
AL_213,1041,64.48,0.489236,0.0,0.499693,0.0,0.0,1.0,1.0,0.0426,4,0,"probability/score [0,1]"
