Feature,GlobalUnique,CFTR_Unique,PAH_Unique,KANSER_Unique,MissPct,SuspectedType,Handling
AL_77,2,2,2,2,59.16,binary,KEEP
AL_78,2,2,3,2,59.16,binary,KEEP
AL_79,1195,74,144,139,59.16,numeric,KEEP
AL_80,1,1,1,1,59.16,constant,DROP
AL_81,4,2,32,2,59.16,low-unique,TEST
AL_82,1195,74,144,139,59.16,numeric,KEEP
AL_83,2,2,2,2,59.16,binary,KEEP
AL_84,8,3,136,3,59.16,low-unique,TEST
AL_85,1196,74,144,139,59.16,numeric,KEEP
AL_86,2,2,2,2,59.16,binary,KEEP
AL_87,3,2,13,2,59.16,low-unique,TEST
AL_88,1193,74,144,139,59.16,numeric,KEEP
AL_89,2,2,2,2,59.16,binary,KEEP
AL_90,4,2,28,3,59.16,low-unique,TEST
AL_91,1196,74,144,139,59.16,numeric,KEEP
AL_92,2,2,2,2,59.16,binary,KEEP
AL_93,2,2,6,2,59.16,binary,KEEP
AL_94,1195,74,144,139,59.16,numeric,KEEP
AL_95,2,2,2,2,59.16,binary,KEEP
CAT_2,7,7,7,7,59.16,low-unique,TEST
AL_96,23,3,138,3,59.16,numeric,KEEP
AL_97,1197,74,144,139,59.16,numeric,KEEP
AL_98,6,2,2,2,59.16,low-unique,TEST
CAT_3,5,5,4,5,12.25,quasi-constant,TEST
CAT_4,5,5,4,5,12.25,quasi-constant,TEST
EK_1,2541,111,339,365,12.25,numeric,KEEP
EK_2,2483,111,337,343,12.25,numeric,KEEP
EK_3,1601,62,194,257,45.38,numeric,KEEP
AL_99,2,2,14,2,49.3,binary,KEEP
AL_100,1486,89,202,183,49.3,numeric,KEEP
AL_101,1,1,1,1,49.3,constant,DROP
AL_102,2,2,9,2,49.3,binary,KEEP
AL_103,1484,89,202,183,49.3,numeric,KEEP
AL_104,1,1,1,1,49.3,constant,DROP
AL_105,47,7,200,3,49.3,numeric,KEEP
AL_106,1486,89,202,183,49.3,numeric,KEEP
AL_107,1,1,1,1,49.3,constant,DROP
AL_108,7,3,47,2,49.3,low-unique,TEST
AL_109,1486,89,202,183,49.3,numeric,KEEP
AL_110,1,1,1,1,49.3,constant,DROP
AL_111,2,2,7,2,49.3,binary,KEEP
AL_112,1486,89,202,183,49.3,numeric,KEEP
AL_113,1,1,1,1,49.3,constant,DROP
AL_114,5,2,36,2,49.3,quasi-constant,TEST
AL_115,1486,89,202,183,49.3,numeric,KEEP
AL_116,1,1,1,1,49.3,constant,DROP
AL_117,4,2,180,2,49.3,quasi-constant,TEST
AL_118,1486,89,202,183,49.3,numeric,KEEP
AL_119,1,1,1,1,49.3,constant,DROP
AL_120,2,2,3,2,49.3,binary,KEEP
AL_121,1484,89,202,183,49.3,numeric,KEEP
AL_122,1,1,1,1,49.3,constant,DROP
AL_123,26,4,199,4,49.3,numeric,KEEP
AL_124,1486,89,202,183,49.3,numeric,KEEP
AL_125,1,1,1,1,49.3,constant,DROP
AL_126,9,2,180,2,49.3,low-unique,TEST
AL_127,1486,89,202,183,49.3,numeric,KEEP
AL_128,1,1,1,1,49.3,constant,DROP
AL_129,69,10,201,12,49.3,numeric,KEEP
AL_130,1486,89,202,183,49.3,numeric,KEEP
AL_131,1,1,1,1,49.3,constant,DROP
AL_132,3,2,8,2,49.3,quasi-constant,TEST
AL_133,1486,89,202,183,49.3,numeric,KEEP
AL_134,1,1,1,1,49.3,constant,DROP
AL_135,2,2,22,2,49.3,binary,KEEP
AL_136,1486,89,202,183,49.3,numeric,KEEP
AL_137,1,1,1,1,49.3,constant,DROP
AL_138,2,2,67,2,49.3,binary,KEEP
AL_139,1486,89,202,183,49.3,numeric,KEEP
AL_140,1,1,1,1,49.3,constant,DROP
AL_141,7,2,195,4,49.3,low-unique,TEST
AL_142,1486,89,202,183,49.3,numeric,KEEP
AL_143,1,1,1,1,49.3,constant,DROP
AL_144,2,2,18,2,49.3,binary,KEEP
AL_145,1486,89,202,183,49.3,numeric,KEEP
AL_146,1,1,1,1,49.3,constant,DROP
AL_147,7,3,178,3,49.3,low-unique,TEST
AL_148,1486,89,202,183,49.3,numeric,KEEP
AL_149,1,1,1,1,49.3,constant,DROP
AL_150,14,5,195,5,49.3,numeric,KEEP
AL_151,1486,89,202,183,49.3,numeric,KEEP
AL_152,1,1,1,1,49.3,constant,DROP
AL_153,2,2,65,2,49.3,binary,KEEP
AL_154,1486,89,202,183,49.3,numeric,KEEP
AL_155,1,1,1,1,49.3,constant,DROP
AL_156,6,3,26,2,49.3,low-unique,TEST
AL_157,1486,89,202,183,49.3,numeric,KEEP
AL_158,1,1,1,1,49.3,constant,DROP
AL_159,5,2,66,4,49.3,quasi-constant,TEST
AL_160,1486,89,202,183,49.3,numeric,KEEP
AL_161,1,1,1,1,49.3,constant,DROP
AL_162,5,2,188,2,49.3,quasi-constant,TEST
AL_163,1486,89,202,183,49.3,numeric,KEEP
AL_164,1,1,1,1,49.3,constant,DROP
AL_165,4,2,64,2,49.3,quasi-constant,TEST
AL_166,1486,89,202,183,49.3,numeric,KEEP
AL_167,1,1,1,1,49.3,constant,DROP
AL_168,12,4,194,3,49.3,numeric,KEEP
AL_169,1486,89,202,183,49.3,numeric,KEEP
AL_170,1,1,1,1,49.3,constant,DROP
AL_171,4,2,84,2,49.3,quasi-constant,TEST
AL_172,1486,89,202,183,49.3,numeric,KEEP
AL_173,1,1,1,1,49.3,constant,DROP
AL_174,13,3,194,5,49.3,numeric,KEEP
AL_175,1486,89,202,183,49.3,numeric,KEEP
AL_176,1,1,1,1,49.3,constant,DROP
AL_177,2,3,49,2,49.3,binary,KEEP
AL_178,1486,89,202,183,49.3,numeric,KEEP
AL_179,1,1,1,1,49.3,constant,DROP
AL_180,4,2,11,2,49.3,quasi-constant,TEST
AL_181,1486,89,202,183,49.3,numeric,KEEP
AL_182,1,1,1,1,49.3,constant,DROP
AL_183,2,2,7,2,66.39,binary,KEEP
AL_184,984,56,119,104,66.39,numeric,KEEP
AL_185,1,1,1,1,66.39,constant,DROP
CAT_5,5,5,4,5,12.25,quasi-constant,TEST
AL_186,2012,104,273,287,31.35,numeric,KEEP
AL_187,4,2,23,2,64.48,low-unique,TEST
AL_188,1041,70,130,117,64.48,numeric,KEEP
AL_189,17,2,59,2,64.48,numeric,KEEP
AL_190,1041,70,130,117,64.48,numeric,KEEP
AL_191,1,1,1,1,64.48,constant,DROP
AL_192,26,3,1,7,64.48,numeric,KEEP
AL_193,6,2,122,2,64.48,low-unique,TEST
AL_194,1041,70,130,117,64.48,numeric,KEEP
AL_195,1,1,1,1,64.48,constant,DROP
AL_196,16,2,1,5,64.48,numeric,KEEP
AL_197,1,1,1,1,64.48,constant,DROP
AL_198,40,5,123,5,64.48,numeric,KEEP
AL_199,1041,70,130,117,64.48,numeric,KEEP
AL_200,2,1,1,1,64.48,binary,KEEP
AL_201,98,70,1,10,64.48,numeric,KEEP
AL_202,18,3,120,2,64.48,numeric,KEEP
AL_203,1038,70,130,117,64.48,numeric,KEEP
AL_204,2,1,1,1,64.48,binary,KEEP
AL_205,35,8,1,2,64.48,numeric,KEEP
AL_206,7,2,127,3,64.48,low-unique,TEST
AL_207,1041,70,130,117,64.48,numeric,KEEP
AL_208,1,1,1,1,64.48,constant,DROP
AL_209,23,3,1,2,64.48,numeric,KEEP
AL_210,3,2,49,2,64.48,low-unique,TEST
AL_211,1041,70,130,117,64.48,numeric,KEEP
AL_212,1,1,1,1,64.48,constant,DROP
AL_213,4,3,1,3,64.48,low-unique,TEST
AL_214,4,2,16,2,74.34,low-unique,TEST
AL_215,752,55,85,88,74.34,numeric,KEEP
AL_216,2,1,1,1,74.34,binary,KEEP
AL_217,7,4,1,2,74.34,low-unique,TEST
AL_218,4,2,123,3,64.48,low-unique,TEST
AL_219,1039,70,130,117,64.48,numeric,KEEP
AL_220,1,1,1,1,64.48,constant,DROP
AL_221,11,4,1,3,64.48,numeric,KEEP
AL_222,5,2,1,2,64.48,low-unique,TEST
CAT_6,3,1,0,1,97.71,low-unique,TEST
AL_223,3,3,11,2,64.48,low-unique,TEST
AL_224,1041,70,130,117,64.48,numeric,KEEP
AL_225,5,2,23,5,64.48,low-unique,TEST
AL_226,1041,70,130,117,64.48,numeric,KEEP
AL_227,2,1,1,1,64.48,binary,KEEP
AL_228,16,2,1,2,64.48,numeric,KEEP
AL_229,5,2,46,2,64.48,low-unique,TEST
AL_230,1041,70,130,117,64.48,numeric,KEEP
AL_231,1,1,1,1,64.48,constant,DROP
AL_232,8,2,1,2,64.48,low-unique,TEST
AL_233,1,1,1,1,64.48,constant,DROP
AL_234,8,3,63,2,64.48,low-unique,TEST
AL_235,1041,70,130,117,64.48,numeric,KEEP
AL_236,1,1,1,1,64.48,constant,DROP
AL_237,25,8,1,6,64.48,numeric,KEEP
AL_238,10,2,34,2,64.48,low-unique,TEST
AL_239,1041,70,130,117,64.48,numeric,KEEP
AL_240,2,1,1,1,64.48,binary,KEEP
AL_241,17,3,130,2,64.48,numeric,KEEP
AL_242,6,2,126,2,64.48,low-unique,TEST
AL_243,1041,70,130,117,64.48,numeric,KEEP
AL_244,1,1,1,1,64.48,constant,DROP
AL_245,14,2,1,4,64.48,numeric,KEEP
AL_246,2,2,25,2,64.48,binary,KEEP
AL_247,1041,70,130,117,64.48,numeric,KEEP
AL_248,1,1,1,1,64.48,constant,DROP
AL_249,6,3,1,2,64.48,low-unique,TEST
AL_250,6,2,12,2,66.19,low-unique,TEST
AL_251,991,68,123,108,66.19,numeric,KEEP
AL_252,2,1,1,1,66.19,binary,KEEP
AL_253,2,3,123,2,66.19,binary,KEEP
AL_254,8,3,61,2,64.48,low-unique,TEST
AL_255,1041,70,130,117,64.48,numeric,KEEP
AL_256,1,1,1,1,64.48,constant,DROP
AL_257,12,3,1,2,64.48,numeric,KEEP
AL_258,2,2,129,2,64.48,binary,KEEP
AL_259,2,2,16,3,64.48,binary,KEEP
AL_260,1041,70,130,117,64.48,numeric,KEEP
AL_261,8,2,26,3,64.48,low-unique,TEST
AL_262,1041,70,130,117,64.48,numeric,KEEP
AL_263,1,1,1,1,64.48,constant,DROP
AL_264,10,2,1,3,64.48,low-unique,TEST
AL_265,7,2,57,2,64.48,low-unique,TEST
AL_266,1041,70,130,117,64.48,numeric,KEEP
AL_267,2,1,1,1,64.48,binary,KEEP
AL_268,12,3,1,3,64.48,numeric,KEEP
AL_269,2,1,1,1,64.48,binary,KEEP
AL_270,11,4,125,2,64.48,numeric,KEEP
AL_271,1041,70,130,117,64.48,numeric,KEEP
AL_272,1,1,1,1,64.48,constant,DROP
AL_273,43,15,1,7,64.48,numeric,KEEP
AL_274,6,3,37,2,64.48,low-unique,TEST
AL_275,1040,70,130,117,64.52,numeric,KEEP
AL_276,1,1,1,1,64.48,constant,DROP
AL_277,19,4,128,2,64.48,numeric,KEEP
AL_278,5,3,124,3,64.48,low-unique,TEST
AL_279,1041,70,130,117,64.48,numeric,KEEP
AL_280,1,1,1,1,64.48,constant,DROP
AL_281,13,2,1,2,64.48,numeric,KEEP
AL_282,2,2,28,2,64.48,binary,KEEP
AL_283,1041,70,130,117,64.48,numeric,KEEP
AL_284,1,1,1,1,64.48,constant,DROP
AL_285,3,2,1,3,64.48,low-unique,TEST
AL_286,4,2,3,2,66.6,low-unique,TEST
AL_287,978,69,122,110,66.6,numeric,KEEP
AL_288,2,1,1,1,66.6,binary,KEEP
AL_289,6,2,121,2,66.6,low-unique,TEST
AL_290,5,2,58,2,64.48,low-unique,TEST
AL_291,1041,70,129,117,64.48,numeric,KEEP
AL_292,1,1,1,1,64.48,constant,DROP
AL_293,9,4,1,4,64.48,low-unique,TEST
AL_294,3,2,129,2,64.48,low-unique,TEST
AL_295,2,3,2,2,44.32,binary,KEEP
AL_296,1632,96,246,198,44.32,numeric,KEEP
AL_297,7,2,24,2,44.32,low-unique,TEST
AL_298,1632,96,246,198,44.32,numeric,KEEP
AL_299,1,1,1,1,44.32,constant,DROP
AL_300,7,2,244,3,44.32,low-unique,TEST
AL_301,128,20,244,22,44.32,numeric,KEEP
AL_302,1632,96,246,198,44.32,numeric,KEEP
AL_303,1,1,1,1,44.32,constant,DROP
AL_304,425,94,1,43,44.32,numeric,KEEP
AL_305,2,2,103,2,44.32,binary,KEEP
AL_306,1632,96,246,198,44.32,numeric,KEEP
AL_307,1,1,1,1,44.32,constant,DROP
AL_308,7,2,1,3,44.32,low-unique,TEST
AL_309,1,1,1,1,44.32,constant,DROP
AL_310,11,2,61,3,44.32,numeric,KEEP
AL_311,1632,96,246,198,44.32,numeric,KEEP
AL_312,1,1,1,1,44.32,constant,DROP
AL_313,13,6,244,3,44.32,numeric,KEEP
AL_314,5,2,10,3,44.32,quasi-constant,TEST
AL_315,1632,96,246,198,44.32,numeric,KEEP
AL_316,1,1,1,1,44.32,constant,DROP
AL_317,13,2,245,3,44.32,numeric,KEEP
AL_318,3,2,238,3,44.32,quasi-constant,TEST
AL_319,1632,96,246,198,44.32,numeric,KEEP
AL_320,1,1,1,1,44.32,constant,DROP
AL_321,10,2,1,3,44.32,low-unique,TEST
AL_322,2,2,5,2,44.32,binary,KEEP
AL_323,1632,96,246,198,44.32,numeric,KEEP
AL_324,1,1,1,1,44.32,constant,DROP
AL_325,2,3,2,2,44.32,binary,KEEP
AL_326,2,2,7,2,44.32,binary,KEEP
AL_327,1632,96,246,198,44.32,numeric,KEEP
AL_328,2,2,2,2,44.32,binary,KEEP
AL_329,4,2,244,2,44.32,quasi-constant,TEST
AL_330,6,2,66,2,44.32,low-unique,TEST
AL_331,1632,96,246,198,44.32,numeric,KEEP
AL_332,1,1,1,1,44.32,constant,DROP
AL_333,9,2,244,3,44.32,low-unique,TEST
AL_334,2,2,243,2,44.32,binary,KEEP
EK_4,1424,61,189,212,12.25,numeric,KEEP
EK_5,1940,79,277,260,12.25,numeric,KEEP
EK_6,1374,51,196,212,12.25,numeric,KEEP
EK_7,2470,110,349,355,12.25,numeric,KEEP
EK_8,2383,104,333,323,12.25,numeric,KEEP
EK_9,2163,99,335,340,20.71,numeric,KEEP
AA_1,24,18,20,21,11.87,categorical,KEEP
AA_2,25,20,20,22,11.94,categorical,KEEP
