Dataset,Column,MissPct,Band
CFTR,AL_117,19.82,5-20%
CFTR,AL_118,19.82,5-20%
CFTR,AL_119,19.82,5-20%
CFTR,AL_120,19.82,5-20%
CFTR,AL_121,19.82,5-20%
CFTR,AL_122,19.82,5-20%
CFTR,AL_123,19.82,5-20%
CFTR,AL_124,19.82,5-20%
CFTR,AL_125,19.82,5-20%
CFTR,AL_126,19.82,5-20%
CFTR,AL_127,19.82,5-20%
CFTR,AL_128,19.82,5-20%
CFTR,AL_129,19.82,5-20%
CFTR,AL_130,19.82,5-20%
CFTR,AL_131,19.82,5-20%
CFTR,AL_132,19.82,5-20%
CFTR,AL_133,19.82,5-20%
CFTR,AL_134,19.82,5-20%
CFTR,AL_135,19.82,5-20%
CFTR,AL_136,19.82,5-20%
CFTR,AL_137,19.82,5-20%
CFTR,AL_138,19.82,5-20%
CFTR,AL_139,19.82,5-20%
CFTR,AL_140,19.82,5-20%
CFTR,AL_141,19.82,5-20%
CFTR,AL_142,19.82,5-20%
CFTR,AL_143,19.82,5-20%
CFTR,AL_144,19.82,5-20%
CFTR,AL_145,19.82,5-20%
CFTR,AL_146,19.82,5-20%
CFTR,AL_147,19.82,5-20%
CFTR,AL_148,19.82,5-20%
CFTR,AL_149,19.82,5-20%
CFTR,AL_150,19.82,5-20%
CFTR,AL_151,19.82,5-20%
CFTR,AL_152,19.82,5-20%
CFTR,AL_153,19.82,5-20%
CFTR,AL_154,19.82,5-20%
CFTR,AL_155,19.82,5-20%
CFTR,AL_156,19.82,5-20%
CFTR,AL_157,19.82,5-20%
CFTR,AL_158,19.82,5-20%
CFTR,AL_159,19.82,5-20%
CFTR,AL_160,19.82,5-20%
CFTR,AL_161,19.82,5-20%
CFTR,AL_162,19.82,5-20%
CFTR,AL_163,19.82,5-20%
CFTR,AL_164,19.82,5-20%
CFTR,AL_165,19.82,5-20%
CFTR,AL_166,19.82,5-20%
CFTR,AL_167,19.82,5-20%
CFTR,AL_168,19.82,5-20%
CFTR,AL_169,19.82,5-20%
CFTR,AL_170,19.82,5-20%
CFTR,AL_171,19.82,5-20%
CFTR,AL_172,19.82,5-20%
CFTR,AL_173,19.82,5-20%
CFTR,AL_174,19.82,5-20%
CFTR,AL_175,19.82,5-20%
CFTR,AL_176,19.82,5-20%
CFTR,AL_177,19.82,5-20%
CFTR,AL_178,19.82,5-20%
CFTR,AL_179,19.82,5-20%
CFTR,AL_180,19.82,5-20%
CFTR,AL_181,19.82,5-20%
CFTR,AL_182,19.82,5-20%
CFTR,AL_183,49.55,20-50%
CFTR,AL_184,49.55,20-50%
CFTR,AL_185,49.55,20-50%
CFTR,CAT_5,0.0,0%
CFTR,AL_186,6.31,5-20%
CFTR,AL_187,36.94,20-50%
CFTR,AL_188,36.94,20-50%
CFTR,AL_189,36.94,20-50%
CFTR,AL_190,36.94,20-50%
CFTR,AL_191,36.94,20-50%
CFTR,AL_192,36.94,20-50%
CFTR,AL_193,36.94,20-50%
CFTR,AL_194,36.94,20-50%
CFTR,AL_195,36.94,20-50%
CFTR,AL_196,36.94,20-50%
CFTR,AL_197,36.94,20-50%
CFTR,AL_198,36.94,20-50%
CFTR,AL_199,36.94,20-50%
CFTR,AL_200,36.94,20-50%
CFTR,AL_201,36.94,20-50%
CFTR,AL_202,36.94,20-50%
CFTR,AL_203,36.94,20-50%
CFTR,AL_204,36.94,20-50%
CFTR,AL_205,36.94,20-50%
CFTR,AL_206,36.94,20-50%
CFTR,AL_207,36.94,20-50%
CFTR,AL_208,36.94,20-50%
CFTR,AL_209,36.94,20-50%
CFTR,AL_210,36.94,20-50%
CFTR,AL_211,36.94,20-50%
CFTR,AL_212,36.94,20-50%
CFTR,AL_213,36.94,20-50%
CFTR,AL_214,50.45,50-80%
CFTR,AL_215,50.45,50-80%
CFTR,AL_216,50.45,50-80%
CFTR,AL_217,50.45,50-80%
CFTR,AL_218,36.94,20-50%
CFTR,AL_219,36.94,20-50%
CFTR,AL_220,36.94,20-50%
CFTR,AL_221,36.94,20-50%
CFTR,AL_222,36.94,20-50%
CFTR,CAT_6,98.2,>95%
CFTR,AL_223,36.94,20-50%
CFTR,AL_224,36.94,20-50%
CFTR,AL_225,36.94,20-50%
CFTR,AL_226,36.94,20-50%
CFTR,AL_227,36.94,20-50%
CFTR,AL_228,36.94,20-50%
CFTR,AL_229,36.94,20-50%
CFTR,AL_230,36.94,20-50%
CFTR,AL_231,36.94,20-50%
CFTR,AL_232,36.94,20-50%
CFTR,AL_233,36.94,20-50%
CFTR,AL_234,36.94,20-50%
CFTR,AL_235,36.94,20-50%
CFTR,AL_236,36.94,20-50%
CFTR,AL_237,36.94,20-50%
CFTR,AL_238,36.94,20-50%
CFTR,AL_239,36.94,20-50%
CFTR,AL_240,36.94,20-50%
CFTR,AL_241,36.94,20-50%
CFTR,AL_242,36.94,20-50%
CFTR,AL_243,36.94,20-50%
CFTR,AL_244,36.94,20-50%
CFTR,AL_245,36.94,20-50%
CFTR,AL_246,36.94,20-50%
CFTR,AL_247,36.94,20-50%
CFTR,AL_248,36.94,20-50%
CFTR,AL_249,36.94,20-50%
CFTR,AL_250,38.74,20-50%
CFTR,AL_251,38.74,20-50%
CFTR,AL_252,38.74,20-50%
CFTR,AL_253,38.74,20-50%
CFTR,AL_254,36.94,20-50%
CFTR,AL_255,36.94,20-50%
CFTR,AL_256,36.94,20-50%
CFTR,AL_257,36.94,20-50%
CFTR,AL_258,36.94,20-50%
CFTR,AL_259,36.94,20-50%
CFTR,AL_260,36.94,20-50%
CFTR,AL_261,36.94,20-50%
CFTR,AL_262,36.94,20-50%
CFTR,AL_263,36.94,20-50%
CFTR,AL_264,36.94,20-50%
CFTR,AL_265,36.94,20-50%
CFTR,AL_266,36.94,20-50%
CFTR,AL_267,36.94,20-50%
CFTR,AL_268,36.94,20-50%
CFTR,AL_269,36.94,20-50%
CFTR,AL_270,36.94,20-50%
CFTR,AL_271,36.94,20-50%
CFTR,AL_272,36.94,20-50%
CFTR,AL_273,36.94,20-50%
CFTR,AL_274,36.94,20-50%
CFTR,AL_275,36.94,20-50%
CFTR,AL_276,36.94,20-50%
CFTR,AL_277,36.94,20-50%
CFTR,AL_278,36.94,20-50%
CFTR,AL_279,36.94,20-50%
CFTR,AL_280,36.94,20-50%
CFTR,AL_281,36.94,20-50%
CFTR,AL_282,36.94,20-50%
CFTR,AL_283,36.94,20-50%
CFTR,AL_284,36.94,20-50%
CFTR,AL_285,36.94,20-50%
CFTR,AL_286,37.84,20-50%
CFTR,AL_287,37.84,20-50%
CFTR,AL_288,37.84,20-50%
CFTR,AL_289,37.84,20-50%
CFTR,AL_290,36.94,20-50%
CFTR,AL_291,36.94,20-50%
CFTR,AL_292,36.94,20-50%
CFTR,AL_293,36.94,20-50%
CFTR,AL_294,36.94,20-50%
CFTR,AL_295,13.51,5-20%
CFTR,AL_296,13.51,5-20%
CFTR,AL_297,13.51,5-20%
CFTR,AL_298,13.51,5-20%
CFTR,AL_299,13.51,5-20%
CFTR,AL_300,13.51,5-20%
CFTR,AL_301,13.51,5-20%
CFTR,AL_302,13.51,5-20%
CFTR,AL_303,13.51,5-20%
CFTR,AL_304,13.51,5-20%
CFTR,AL_305,13.51,5-20%
CFTR,AL_306,13.51,5-20%
CFTR,AL_307,13.51,5-20%
CFTR,AL_308,13.51,5-20%
CFTR,AL_309,13.51,5-20%
CFTR,AL_310,13.51,5-20%
CFTR,AL_311,13.51,5-20%
CFTR,AL_312,13.51,5-20%
CFTR,AL_313,13.51,5-20%
CFTR,AL_314,13.51,5-20%
CFTR,AL_315,13.51,5-20%
CFTR,AL_316,13.51,5-20%
CFTR,AL_317,13.51,5-20%
CFTR,AL_318,13.51,5-20%
CFTR,AL_319,13.51,5-20%
CFTR,AL_320,13.51,5-20%
CFTR,AL_321,13.51,5-20%
CFTR,AL_322,13.51,5-20%
CFTR,AL_323,13.51,5-20%
CFTR,AL_324,13.51,5-20%
CFTR,AL_325,13.51,5-20%
CFTR,AL_326,13.51,5-20%
CFTR,AL_327,13.51,5-20%
CFTR,AL_328,13.51,5-20%
CFTR,AL_329,13.51,5-20%
CFTR,AL_330,13.51,5-20%
CFTR,AL_331,13.51,5-20%
CFTR,AL_332,13.51,5-20%
CFTR,AL_333,13.51,5-20%
CFTR,AL_334,13.51,5-20%
CFTR,EK_4,0.0,0%
CFTR,EK_5,0.0,0%
CFTR,EK_6,0.0,0%
CFTR,EK_7,0.0,0%
CFTR,EK_8,0.0,0%
CFTR,EK_9,0.0,0%
CFTR,AA_1,0.0,0%
CFTR,AA_2,0.0,0%
CFTR,Label,0.0,0%
KANSER,Variant_ID,0.0,0%
KANSER,AL_1,88.4,80-95%
KANSER,AL_2,88.4,80-95%
KANSER,AL_3,88.4,80-95%
KANSER,AL_4,88.4,80-95%
KANSER,AL_5,88.4,80-95%
KANSER,AL_6,88.4,80-95%
KANSER,AL_7,44.59,20-50%
KANSER,AL_8,44.59,20-50%
KANSER,AL_9,44.59,20-50%
KANSER,AL_10,44.59,20-50%
KANSER,AL_11,44.59,20-50%
KANSER,AL_12,44.59,20-50%
KANSER,AL_13,44.59,20-50%
KANSER,AL_14,44.59,20-50%
KANSER,AL_15,44.59,20-50%
KANSER,AL_16,68.56,50-80%
KANSER,AL_17,68.56,50-80%
KANSER,AL_18,68.56,50-80%
KANSER,AL_19,68.56,50-80%
KANSER,AL_20,68.56,50-80%
KANSER,AL_21,68.56,50-80%
KANSER,AL_22,68.56,50-80%
KANSER,AL_23,68.56,50-80%
KANSER,AL_24,68.56,50-80%
KANSER,AL_25,68.56,50-80%
KANSER,AL_26,42.78,20-50%
KANSER,CAT_1,42.78,20-50%
KANSER,AL_27,89.95,80-95%
KANSER,AL_28,89.95,80-95%
KANSER,AL_29,89.95,80-95%
KANSER,AL_30,89.95,80-95%
KANSER,AL_31,89.95,80-95%
KANSER,AL_32,89.95,80-95%
KANSER,AL_33,89.95,80-95%
KANSER,AL_34,89.95,80-95%
KANSER,AL_35,89.95,80-95%
KANSER,AL_36,89.95,80-95%
KANSER,AL_37,89.95,80-95%
KANSER,AL_38,89.95,80-95%
KANSER,AL_39,37.63,20-50%
KANSER,AL_40,37.63,20-50%
KANSER,AL_41,37.63,20-50%
KANSER,AL_42,37.63,20-50%
KANSER,AL_43,37.63,20-50%
KANSER,AL_44,37.63,20-50%
KANSER,AL_45,37.63,20-50%
KANSER,AL_46,37.63,20-50%
KANSER,AL_47,37.63,20-50%
KANSER,AL_48,37.63,20-50%
KANSER,AL_49,37.63,20-50%
KANSER,AL_50,37.63,20-50%
KANSER,AL_51,37.63,20-50%
KANSER,AL_52,37.63,20-50%
KANSER,AL_53,37.63,20-50%
KANSER,AL_54,37.63,20-50%
KANSER,AL_55,37.63,20-50%
KANSER,AL_56,37.63,20-50%
KANSER,AL_57,37.63,20-50%
KANSER,AL_58,37.63,20-50%
KANSER,AL_59,37.63,20-50%
KANSER,AL_60,37.63,20-50%
KANSER,AL_61,37.63,20-50%
KANSER,AL_62,37.63,20-50%
KANSER,AL_63,37.63,20-50%
KANSER,AL_64,37.63,20-50%
KANSER,AL_65,37.63,20-50%
KANSER,AL_66,37.63,20-50%
KANSER,AL_67,37.63,20-50%
KANSER,AL_68,37.63,20-50%
KANSER,AL_69,37.63,20-50%
KANSER,AL_70,37.63,20-50%
KANSER,AL_71,37.63,20-50%
KANSER,AL_72,37.63,20-50%
KANSER,AL_73,37.63,20-50%
KANSER,AL_74,37.63,20-50%
KANSER,AL_75,64.18,50-80%
KANSER,AL_76,64.18,50-80%
KANSER,AL_77,64.18,50-80%
KANSER,AL_78,64.18,50-80%
KANSER,AL_79,64.18,50-80%
KANSER,AL_80,64.18,50-80%
KANSER,AL_81,64.18,50-80%
KANSER,AL_82,64.18,50-80%
KANSER,AL_83,64.18,50-80%
KANSER,AL_84,64.18,50-80%
KANSER,AL_85,64.18,50-80%
KANSER,AL_86,64.18,50-80%
KANSER,AL_87,64.18,50-80%
KANSER,AL_88,64.18,50-80%
KANSER,AL_89,64.18,50-80%
KANSER,AL_90,64.18,50-80%
KANSER,AL_91,64.18,50-80%
KANSER,AL_92,64.18,50-80%
KANSER,AL_93,64.18,50-80%
KANSER,AL_94,64.18,50-80%
KANSER,AL_95,64.18,50-80%
KANSER,CAT_2,64.18,50-80%
KANSER,AL_96,64.18,50-80%
KANSER,AL_97,64.18,50-80%
KANSER,AL_98,64.18,50-80%
KANSER,CAT_3,5.93,5-20%
KANSER,CAT_4,5.93,5-20%
KANSER,EK_1,5.93,5-20%
KANSER,EK_2,5.93,5-20%
KANSER,EK_3,33.25,20-50%
KANSER,AL_99,52.84,50-80%
KANSER,AL_100,52.84,50-80%
KANSER,AL_101,52.84,50-80%
KANSER,AL_102,52.84,50-80%
KANSER,AL_103,52.84,50-80%
KANSER,AL_104,52.84,50-80%
KANSER,AL_105,52.84,50-80%
KANSER,AL_106,52.84,50-80%
KANSER,AL_107,52.84,50-80%
KANSER,AL_108,52.84,50-80%
KANSER,AL_109,52.84,50-80%
KANSER,AL_110,52.84,50-80%
KANSER,AL_111,52.84,50-80%
KANSER,AL_112,52.84,50-80%
KANSER,AL_113,52.84,50-80%
KANSER,AL_114,52.84,50-80%
KANSER,AL_115,52.84,50-80%
KANSER,AL_116,52.84,50-80%
KANSER,AL_117,52.84,50-80%
KANSER,AL_118,52.84,50-80%
KANSER,AL_119,52.84,50-80%
KANSER,AL_120,52.84,50-80%
KANSER,AL_121,52.84,50-80%
KANSER,AL_122,52.84,50-80%
KANSER,AL_123,52.84,50-80%
KANSER,AL_124,52.84,50-80%
KANSER,AL_125,52.84,50-80%
KANSER,AL_126,52.84,50-80%
KANSER,AL_127,52.84,50-80%
KANSER,AL_128,52.84,50-80%
KANSER,AL_129,52.84,50-80%
KANSER,AL_130,52.84,50-80%
KANSER,AL_131,52.84,50-80%
KANSER,AL_132,52.84,50-80%
KANSER,AL_133,52.84,50-80%
KANSER,AL_134,52.84,50-80%
KANSER,AL_135,52.84,50-80%
KANSER,AL_136,52.84,50-80%
KANSER,AL_137,52.84,50-80%
KANSER,AL_138,52.84,50-80%
KANSER,AL_139,52.84,50-80%
KANSER,AL_140,52.84,50-80%
KANSER,AL_141,52.84,50-80%
KANSER,AL_142,52.84,50-80%
KANSER,AL_143,52.84,50-80%
KANSER,AL_144,52.84,50-80%
KANSER,AL_145,52.84,50-80%
KANSER,AL_146,52.84,50-80%
KANSER,AL_147,52.84,50-80%
KANSER,AL_148,52.84,50-80%
KANSER,AL_149,52.84,50-80%
KANSER,AL_150,52.84,50-80%
KANSER,AL_151,52.84,50-80%
KANSER,AL_152,52.84,50-80%
KANSER,AL_153,52.84,50-80%
KANSER,AL_154,52.84,50-80%
KANSER,AL_155,52.84,50-80%
KANSER,AL_156,52.84,50-80%
KANSER,AL_157,52.84,50-80%
KANSER,AL_158,52.84,50-80%
KANSER,AL_159,52.84,50-80%
KANSER,AL_160,52.84,50-80%
KANSER,AL_161,52.84,50-80%
KANSER,AL_162,52.84,50-80%
KANSER,AL_163,52.84,50-80%
KANSER,AL_164,52.84,50-80%
KANSER,AL_165,52.84,50-80%
KANSER,AL_166,52.84,50-80%
KANSER,AL_167,52.84,50-80%
KANSER,AL_168,52.84,50-80%
KANSER,AL_169,52.84,50-80%
KANSER,AL_170,52.84,50-80%
KANSER,AL_171,52.84,50-80%
KANSER,AL_172,52.84,50-80%
KANSER,AL_173,52.84,50-80%
KANSER,AL_174,52.84,50-80%
KANSER,AL_175,52.84,50-80%
KANSER,AL_176,52.84,50-80%
KANSER,AL_177,52.84,50-80%
KANSER,AL_178,52.84,50-80%
KANSER,AL_179,52.84,50-80%
KANSER,AL_180,52.84,50-80%
KANSER,AL_181,52.84,50-80%
KANSER,AL_182,52.84,50-80%
KANSER,AL_183,73.2,50-80%
KANSER,AL_184,73.2,50-80%
KANSER,AL_185,73.2,50-80%
KANSER,CAT_5,5.93,5-20%
KANSER,AL_186,26.03,20-50%
KANSER,AL_187,69.85,50-80%
KANSER,AL_188,69.85,50-80%
KANSER,AL_189,69.85,50-80%
KANSER,AL_190,69.85,50-80%
KANSER,AL_191,69.85,50-80%
KANSER,AL_192,69.85,50-80%
KANSER,AL_193,69.85,50-80%
KANSER,AL_194,69.85,50-80%
KANSER,AL_195,69.85,50-80%
KANSER,AL_196,69.85,50-80%
KANSER,AL_197,69.85,50-80%
KANSER,AL_198,69.85,50-80%
KANSER,AL_199,69.85,50-80%
KANSER,AL_200,69.85,50-80%
KANSER,AL_201,69.85,50-80%
KANSER,AL_202,69.85,50-80%
KANSER,AL_203,69.85,50-80%
KANSER,AL_204,69.85,50-80%
KANSER,AL_205,69.85,50-80%
KANSER,AL_206,69.85,50-80%
KANSER,AL_207,69.85,50-80%
KANSER,AL_208,69.85,50-80%
KANSER,AL_209,69.85,50-80%
KANSER,AL_210,69.85,50-80%
KANSER,AL_211,69.85,50-80%
KANSER,AL_212,69.85,50-80%
KANSER,AL_213,69.85,50-80%
KANSER,AL_214,77.32,50-80%
KANSER,AL_215,77.32,50-80%
KANSER,AL_216,77.32,50-80%
KANSER,AL_217,77.32,50-80%
KANSER,AL_218,69.85,50-80%
KANSER,AL_219,69.85,50-80%
KANSER,AL_220,69.85,50-80%
KANSER,AL_221,69.85,50-80%
KANSER,AL_222,69.85,50-80%
KANSER,CAT_6,98.97,>95%
KANSER,AL_223,69.85,50-80%
KANSER,AL_224,69.85,50-80%
KANSER,AL_225,69.85,50-80%
KANSER,AL_226,69.85,50-80%
KANSER,AL_227,69.85,50-80%
KANSER,AL_228,69.85,50-80%
KANSER,AL_229,69.85,50-80%
KANSER,AL_230,69.85,50-80%
KANSER,AL_231,69.85,50-80%
KANSER,AL_232,69.85,50-80%
KANSER,AL_233,69.85,50-80%
KANSER,AL_234,69.85,50-80%
KANSER,AL_235,69.85,50-80%
KANSER,AL_236,69.85,50-80%
KANSER,AL_237,69.85,50-80%
KANSER,AL_238,69.85,50-80%
KANSER,AL_239,69.85,50-80%
KANSER,AL_240,69.85,50-80%
KANSER,AL_241,69.85,50-80%
KANSER,AL_242,69.85,50-80%
KANSER,AL_243,69.85,50-80%
KANSER,AL_244,69.85,50-80%
KANSER,AL_245,69.85,50-80%
KANSER,AL_246,69.85,50-80%
KANSER,AL_247,69.85,50-80%
KANSER,AL_248,69.85,50-80%
KANSER,AL_249,69.85,50-80%
KANSER,AL_250,72.16,50-80%
KANSER,AL_251,72.16,50-80%
KANSER,AL_252,72.16,50-80%
KANSER,AL_253,72.16,50-80%
KANSER,AL_254,69.85,50-80%
KANSER,AL_255,69.85,50-80%
KANSER,AL_256,69.85,50-80%
KANSER,AL_257,69.85,50-80%
KANSER,AL_258,69.85,50-80%
KANSER,AL_259,69.85,50-80%
KANSER,AL_260,69.85,50-80%
KANSER,AL_261,69.85,50-80%
KANSER,AL_262,69.85,50-80%
KANSER,AL_263,69.85,50-80%
KANSER,AL_264,69.85,50-80%
KANSER,AL_265,69.85,50-80%
KANSER,AL_266,69.85,50-80%
KANSER,AL_267,69.85,50-80%
KANSER,AL_268,69.85,50-80%
KANSER,AL_269,69.85,50-80%
KANSER,AL_270,69.85,50-80%
KANSER,AL_271,69.85,50-80%
KANSER,AL_272,69.85,50-80%
KANSER,AL_273,69.85,50-80%
KANSER,AL_274,69.85,50-80%
KANSER,AL_275,69.85,50-80%
KANSER,AL_276,69.85,50-80%
KANSER,AL_277,69.85,50-80%
KANSER,AL_278,69.85,50-80%
KANSER,AL_279,69.85,50-80%
KANSER,AL_280,69.85,50-80%
KANSER,AL_281,69.85,50-80%
KANSER,AL_282,69.85,50-80%
KANSER,AL_283,69.85,50-80%
KANSER,AL_284,69.85,50-80%
KANSER,AL_285,69.85,50-80%
KANSER,AL_286,71.65,50-80%
KANSER,AL_287,71.65,50-80%
KANSER,AL_288,71.65,50-80%
KANSER,AL_289,71.65,50-80%
KANSER,AL_290,69.85,50-80%
KANSER,AL_291,69.85,50-80%
KANSER,AL_292,69.85,50-80%
KANSER,AL_293,69.85,50-80%
KANSER,AL_294,69.85,50-80%
KANSER,AL_295,48.97,20-50%
KANSER,AL_296,48.97,20-50%
KANSER,AL_297,48.97,20-50%
KANSER,AL_298,48.97,20-50%
KANSER,AL_299,48.97,20-50%
KANSER,AL_300,48.97,20-50%
KANSER,AL_301,48.97,20-50%
KANSER,AL_302,48.97,20-50%
KANSER,AL_303,48.97,20-50%
KANSER,AL_304,48.97,20-50%
KANSER,AL_305,48.97,20-50%
KANSER,AL_306,48.97,20-50%
KANSER,AL_307,48.97,20-50%
KANSER,AL_308,48.97,20-50%
KANSER,AL_309,48.97,20-50%
KANSER,AL_310,48.97,20-50%
KANSER,AL_311,48.97,20-50%
KANSER,AL_312,48.97,20-50%
KANSER,AL_313,48.97,20-50%
KANSER,AL_314,48.97,20-50%
KANSER,AL_315,48.97,20-50%
KANSER,AL_316,48.97,20-50%
KANSER,AL_317,48.97,20-50%
KANSER,AL_318,48.97,20-50%
KANSER,AL_319,48.97,20-50%
KANSER,AL_320,48.97,20-50%
KANSER,AL_321,48.97,20-50%
KANSER,AL_322,48.97,20-50%
KANSER,AL_323,48.97,20-50%
KANSER,AL_324,48.97,20-50%
KANSER,AL_325,48.97,20-50%
KANSER,AL_326,48.97,20-50%
KANSER,AL_327,48.97,20-50%
KANSER,AL_328,48.97,20-50%
KANSER,AL_329,48.97,20-50%
KANSER,AL_330,48.97,20-50%
KANSER,AL_331,48.97,20-50%
KANSER,AL_332,48.97,20-50%
KANSER,AL_333,48.97,20-50%
KANSER,AL_334,48.97,20-50%
KANSER,EK_4,5.93,5-20%
KANSER,EK_5,5.93,5-20%
KANSER,EK_6,6.19,5-20%
KANSER,EK_7,5.93,5-20%
KANSER,EK_8,5.93,5-20%
KANSER,EK_9,6.19,5-20%
KANSER,AA_1,5.67,5-20%
KANSER,AA_2,5.67,5-20%
KANSER,Label,0.0,0%
MASTER,Variant_ID,0.0,0%
MASTER,AL_1,89.97,80-95%
MASTER,AL_2,89.97,80-95%
MASTER,AL_3,89.97,80-95%
MASTER,AL_4,89.97,80-95%
MASTER,AL_5,89.97,80-95%
MASTER,AL_6,89.97,80-95%
MASTER,AL_7,39.03,20-50%
MASTER,AL_8,39.03,20-50%
MASTER,AL_9,39.03,20-50%
MASTER,AL_10,39.03,20-50%
MASTER,AL_11,39.03,20-50%
MASTER,AL_12,39.03,20-50%
MASTER,AL_13,39.03,20-50%
MASTER,AL_14,39.03,20-50%
MASTER,AL_15,39.03,20-50%
MASTER,AL_16,63.97,50-80%
MASTER,AL_17,63.97,50-80%
MASTER,AL_18,63.97,50-80%
MASTER,AL_19,63.97,50-80%
MASTER,AL_20,64.01,50-80%
MASTER,AL_21,64.01,50-80%
MASTER,AL_22,64.01,50-80%
MASTER,AL_23,63.97,50-80%
MASTER,AL_24,64.01,50-80%
MASTER,AL_25,64.01,50-80%
MASTER,AL_26,37.02,20-50%
MASTER,CAT_1,37.02,20-50%
MASTER,AL_27,91.4,80-95%
MASTER,AL_28,91.4,80-95%
