Column,MissPath,MissBen,AbsDiff,HigherIn
AL_198,70.92,46.8,24.11,Pathogenic
AL_199,70.92,46.8,24.11,Pathogenic
AL_200,70.92,46.8,24.11,Pathogenic
AL_201,70.92,46.8,24.11,Pathogenic
AL_202,70.92,46.8,24.11,Pathogenic
AL_208,70.92,46.8,24.11,Pathogenic
AL_210,70.92,46.8,24.11,Pathogenic
AL_235,70.92,46.8,24.11,Pathogenic
AL_211,70.92,46.8,24.11,Pathogenic
AL_234,70.92,46.8,24.11,Pathogenic
AL_233,70.92,46.8,24.11,Pathogenic
AL_232,70.92,46.8,24.11,Pathogenic
AL_231,70.92,46.8,24.11,Pathogenic
AL_280,70.92,46.8,24.11,Pathogenic
AL_229,70.92,46.8,24.11,Pathogenic
AL_228,70.92,46.8,24.11,Pathogenic
AL_227,70.92,46.8,24.11,Pathogenic
AL_226,70.92,46.8,24.11,Pathogenic
AL_225,70.92,46.8,24.11,Pathogenic
AL_224,70.92,46.8,24.11,Pathogenic
AL_223,70.92,46.8,24.11,Pathogenic
AL_222,70.92,46.8,24.11,Pathogenic
AL_221,70.92,46.8,24.11,Pathogenic
AL_220,70.92,46.8,24.11,Pathogenic
AL_219,70.92,46.8,24.11,Pathogenic
AL_218,70.92,46.8,24.11,Pathogenic
AL_213,70.92,46.8,24.11,Pathogenic
AL_212,70.92,46.8,24.11,Pathogenic
AL_279,70.92,46.8,24.11,Pathogenic
AL_203,70.92,46.8,24.11,Pathogenic
AL_281,70.92,46.8,24.11,Pathogenic
AL_290,70.92,46.8,24.11,Pathogenic
AL_294,70.92,46.8,24.11,Pathogenic
AL_293,70.92,46.8,24.11,Pathogenic
AL_292,70.92,46.8,24.11,Pathogenic
AL_291,70.92,46.8,24.11,Pathogenic
AL_282,70.92,46.8,24.11,Pathogenic
AL_204,70.92,46.8,24.11,Pathogenic
AL_284,70.92,46.8,24.11,Pathogenic
AL_283,70.92,46.8,24.11,Pathogenic
AL_275,70.92,46.93,23.99,Pathogenic
AL_183,72.78,48.85,23.93,Pathogenic
AL_184,72.78,48.85,23.93,Pathogenic
AL_185,72.78,48.85,23.93,Pathogenic
AL_4,96.23,72.76,23.47,Pathogenic
AL_318,50.58,27.11,23.47,Pathogenic
AL_3,96.23,72.76,23.47,Pathogenic
AL_317,50.58,27.11,23.47,Pathogenic
AL_320,50.58,27.11,23.47,Pathogenic
AL_316,50.58,27.11,23.47,Pathogenic
AL_315,50.58,27.11,23.47,Pathogenic
AL_314,50.58,27.11,23.47,Pathogenic
AL_313,50.58,27.11,23.47,Pathogenic
AL_312,50.58,27.11,23.47,Pathogenic
AL_311,50.58,27.11,23.47,Pathogenic
AL_310,50.58,27.11,23.47,Pathogenic
AL_309,50.58,27.11,23.47,Pathogenic
AL_319,50.58,27.11,23.47,Pathogenic
AL_322,50.58,27.11,23.47,Pathogenic
AL_321,50.58,27.11,23.47,Pathogenic
AL_329,50.58,27.11,23.47,Pathogenic
AL_6,96.23,72.76,23.47,Pathogenic
AL_334,50.58,27.11,23.47,Pathogenic
AL_333,50.58,27.11,23.47,Pathogenic
AL_332,50.58,27.11,23.47,Pathogenic
AL_331,50.58,27.11,23.47,Pathogenic
AL_330,50.58,27.11,23.47,Pathogenic
AL_328,50.58,27.11,23.47,Pathogenic
AL_5,96.23,72.76,23.47,Pathogenic
AL_327,50.58,27.11,23.47,Pathogenic
AL_326,50.58,27.11,23.47,Pathogenic
AL_325,50.58,27.11,23.47,Pathogenic
AL_307,50.58,27.11,23.47,Pathogenic
AL_2,96.23,72.76,23.47,Pathogenic
AL_323,50.58,27.11,23.47,Pathogenic
AL_324,50.58,27.11,23.47,Pathogenic
AL_308,50.58,27.11,23.47,Pathogenic
AL_306,50.58,27.11,23.47,Pathogenic
AL_299,50.58,27.11,23.47,Pathogenic
AL_305,50.58,27.11,23.47,Pathogenic
AL_295,50.58,27.11,23.47,Pathogenic
AL_296,50.58,27.11,23.47,Pathogenic
AL_297,50.58,27.11,23.47,Pathogenic
AL_298,50.58,27.11,23.47,Pathogenic
AL_1,96.23,72.76,23.47,Pathogenic
AL_300,50.58,27.11,23.47,Pathogenic
AL_303,50.58,27.11,23.47,Pathogenic
AL_304,50.58,27.11,23.47,Pathogenic
AL_301,50.58,27.11,23.47,Pathogenic
AL_302,50.58,27.11,23.47,Pathogenic
AL_98,64.59,44.25,20.34,Pathogenic
AL_89,64.59,44.25,20.34,Pathogenic
AL_84,64.59,44.25,20.34,Pathogenic
AL_85,64.59,44.25,20.34,Pathogenic
AL_86,64.59,44.25,20.34,Pathogenic
AL_87,64.59,44.25,20.34,Pathogenic
AL_88,64.59,44.25,20.34,Pathogenic
AL_90,64.59,44.25,20.34,Pathogenic
AL_97,64.59,44.25,20.34,Pathogenic
AL_91,64.59,44.25,20.34,Pathogenic
AL_83,64.59,44.25,20.34,Pathogenic
AL_93,64.59,44.25,20.34,Pathogenic
AL_94,64.59,44.25,20.34,Pathogenic
AL_95,64.59,44.25,20.34,Pathogenic
AL_96,64.59,44.25,20.34,Pathogenic
AL_92,64.59,44.25,20.34,Pathogenic
AL_82,64.59,44.25,20.34,Pathogenic
AL_75,64.59,44.25,20.34,Pathogenic
AL_76,64.59,44.25,20.34,Pathogenic
AL_77,64.59,44.25,20.34,Pathogenic
AL_78,64.59,44.25,20.34,Pathogenic
AL_79,64.59,44.25,20.34,Pathogenic
AL_80,64.59,44.25,20.34,Pathogenic
AL_81,64.59,44.25,20.34,Pathogenic
AL_30,96.65,76.98,19.67,Pathogenic
AL_38,96.65,76.98,19.67,Pathogenic
AL_37,96.65,76.98,19.67,Pathogenic
AL_29,96.65,76.98,19.67,Pathogenic
AL_36,96.65,76.98,19.67,Pathogenic
AL_35,96.65,76.98,19.67,Pathogenic
AL_34,96.65,76.98,19.67,Pathogenic
AL_32,96.65,76.98,19.67,Pathogenic
AL_31,96.65,76.98,19.67,Pathogenic
AL_27,96.65,76.98,19.67,Pathogenic
AL_28,96.65,76.98,19.67,Pathogenic
AL_33,96.65,76.98,19.67,Pathogenic
AL_172,53.89,36.7,17.18,Pathogenic
AL_113,53.89,36.7,17.18,Pathogenic
AL_128,53.89,36.7,17.18,Pathogenic
AL_120,53.89,36.7,17.18,Pathogenic
AL_121,53.89,36.7,17.18,Pathogenic
AL_122,53.89,36.7,17.18,Pathogenic
AL_123,53.89,36.7,17.18,Pathogenic
AL_124,53.89,36.7,17.18,Pathogenic
AL_125,53.89,36.7,17.18,Pathogenic
AL_126,53.89,36.7,17.18,Pathogenic
AL_127,53.89,36.7,17.18,Pathogenic
AL_129,53.89,36.7,17.18,Pathogenic
AL_139,53.89,36.7,17.18,Pathogenic
AL_130,53.89,36.7,17.18,Pathogenic
AL_131,53.89,36.7,17.18,Pathogenic
AL_132,53.89,36.7,17.18,Pathogenic
AL_133,53.89,36.7,17.18,Pathogenic
AL_134,53.89,36.7,17.18,Pathogenic
AL_135,53.89,36.7,17.18,Pathogenic
AL_26,41.6,24.42,17.18,Pathogenic
AL_137,53.89,36.7,17.18,Pathogenic
AL_119,53.89,36.7,17.18,Pathogenic
AL_118,53.89,36.7,17.18,Pathogenic
AL_117,53.89,36.7,17.18,Pathogenic
AL_116,53.89,36.7,17.18,Pathogenic
AL_99,53.89,36.7,17.18,Pathogenic
AL_100,53.89,36.7,17.18,Pathogenic
AL_101,53.89,36.7,17.18,Pathogenic
AL_102,53.89,36.7,17.18,Pathogenic
AL_103,53.89,36.7,17.18,Pathogenic
AL_104,53.89,36.7,17.18,Pathogenic
AL_105,53.89,36.7,17.18,Pathogenic
AL_106,53.89,36.7,17.18,Pathogenic
AL_107,53.89,36.7,17.18,Pathogenic
AL_108,53.89,36.7,17.18,Pathogenic
AL_109,53.89,36.7,17.18,Pathogenic
AL_110,53.89,36.7,17.18,Pathogenic
AL_111,53.89,36.7,17.18,Pathogenic
AL_112,53.89,36.7,17.18,Pathogenic
AL_182,53.89,36.7,17.18,Pathogenic
AL_114,53.89,36.7,17.18,Pathogenic
AL_115,53.89,36.7,17.18,Pathogenic
AL_138,53.89,36.7,17.18,Pathogenic
AL_136,53.89,36.7,17.18,Pathogenic
AL_140,53.89,36.7,17.18,Pathogenic
AL_171,53.89,36.7,17.18,Pathogenic
AL_163,53.89,36.7,17.18,Pathogenic
AL_164,53.89,36.7,17.18,Pathogenic
AL_141,53.89,36.7,17.18,Pathogenic
AL_166,53.89,36.7,17.18,Pathogenic
AL_167,53.89,36.7,17.18,Pathogenic
AL_168,53.89,36.7,17.18,Pathogenic
AL_169,53.89,36.7,17.18,Pathogenic
AL_170,53.89,36.7,17.18,Pathogenic
AL_173,53.89,36.7,17.18,Pathogenic
AL_161,53.89,36.7,17.18,Pathogenic
AL_174,53.89,36.7,17.18,Pathogenic
AL_175,53.89,36.7,17.18,Pathogenic
AL_176,53.89,36.7,17.18,Pathogenic
AL_177,53.89,36.7,17.18,Pathogenic
AL_178,53.89,36.7,17.18,Pathogenic
AL_179,53.89,36.7,17.18,Pathogenic
AL_180,53.89,36.7,17.18,Pathogenic
AL_181,53.89,36.7,17.18,Pathogenic
AL_162,53.89,36.7,17.18,Pathogenic
AL_165,53.89,36.7,17.18,Pathogenic
AL_160,53.89,36.7,17.18,Pathogenic
AL_150,53.89,36.7,17.18,Pathogenic
AL_142,53.89,36.7,17.18,Pathogenic
AL_143,53.89,36.7,17.18,Pathogenic
AL_144,53.89,36.7,17.18,Pathogenic
AL_145,53.89,36.7,17.18,Pathogenic
AL_159,53.89,36.7,17.18,Pathogenic
AL_147,53.89,36.7,17.18,Pathogenic
AL_148,53.89,36.7,17.18,Pathogenic
AL_149,53.89,36.7,17.18,Pathogenic
AL_146,53.89,36.7,17.18,Pathogenic
AL_151,53.89,36.7,17.18,Pathogenic
AL_153,53.89,36.7,17.18,Pathogenic
AL_154,53.89,36.7,17.18,Pathogenic
AL_155,53.89,36.7,17.18,Pathogenic
AL_156,53.89,36.7,17.18,Pathogenic
AL_157,53.89,36.7,17.18,Pathogenic
AL_158,53.89,36.7,17.18,Pathogenic
AL_152,53.89,36.7,17.18,Pathogenic
AL_11,43.28,27.37,15.91,Pathogenic
AL_14,43.28,27.37,15.91,Pathogenic
AL_13,43.28,27.37,15.91,Pathogenic
AL_12,43.28,27.37,15.91,Pathogenic
AL_7,43.28,27.37,15.91,Pathogenic
AL_10,43.28,27.37,15.91,Pathogenic
AL_9,43.28,27.37,15.91,Pathogenic
AL_8,43.28,27.37,15.91,Pathogenic
AL_15,43.28,27.37,15.91,Pathogenic
AL_186,33.88,24.42,9.45,Pathogenic
EK_8,10.05,18.29,8.24,Benign
EK_7,10.05,18.29,8.24,Benign
EK_6,10.05,18.29,8.24,Benign
EK_5,10.05,18.29,8.24,Benign
EK_4,10.05,18.29,8.24,Benign
EK_2,10.05,18.29,8.24,Benign
EK_1,10.05,18.29,8.24,Benign
EK_3,47.37,39.9,7.47,Pathogenic
AL_64,50.12,43.48,6.64,Pathogenic
AL_69,50.12,43.48,6.64,Pathogenic
AL_39,50.12,43.48,6.64,Pathogenic
AL_65,50.12,43.48,6.64,Pathogenic
AL_66,50.12,43.48,6.64,Pathogenic
AL_67,50.12,43.48,6.64,Pathogenic
AL_68,50.12,43.48,6.64,Pathogenic
AL_73,50.12,43.48,6.64,Pathogenic
AL_70,50.12,43.48,6.64,Pathogenic
AL_71,50.12,43.48,6.64,Pathogenic
AL_72,50.12,43.48,6.64,Pathogenic
AL_41,50.12,43.48,6.64,Pathogenic
AL_74,50.12,43.48,6.64,Pathogenic
AL_40,50.12,43.48,6.64,Pathogenic
AL_42,50.12,43.48,6.64,Pathogenic
AL_63,50.12,43.48,6.64,Pathogenic
AL_43,50.12,43.48,6.64,Pathogenic
AL_62,50.12,43.48,6.64,Pathogenic
AL_61,50.12,43.48,6.64,Pathogenic
AL_60,50.12,43.48,6.64,Pathogenic
AL_59,50.12,43.48,6.64,Pathogenic
AL_58,50.12,43.48,6.64,Pathogenic
AL_57,50.12,43.48,6.64,Pathogenic
AL_56,50.12,43.48,6.64,Pathogenic
AL_55,50.12,43.48,6.64,Pathogenic
AL_54,50.12,43.48,6.64,Pathogenic
AL_53,50.12,43.48,6.64,Pathogenic
AL_52,50.12,43.48,6.64,Pathogenic
AL_51,50.12,43.48,6.64,Pathogenic
AL_50,50.12,43.48,6.64,Pathogenic
AL_49,50.12,43.48,6.64,Pathogenic
AL_48,50.12,43.48,6.64,Pathogenic
AL_47,50.12,43.48,6.64,Pathogenic
AL_46,50.12,43.48,6.64,Pathogenic
AL_45,50.12,43.48,6.64,Pathogenic
AL_44,50.12,43.48,6.64,Pathogenic
EK_9,18.99,25.45,6.46,Benign
